est,lo,hi,L1,L2,L2a,L2b,L3,n_eff,n,delta
-0.00777358223260638,-0.32348772931357933,0.3532764414156892,False,False,False,False,True,6777,38074,0.0
-0.10742578714453277,-0.48869926218468,0.30089468016152204,True,False,False,False,True,6720,38904,0.0
0.07481894317098448,-0.2905687969959547,0.3583905859532761,False,False,False,False,True,6704,38011,0.0
0.11633406717337369,-0.22731257911413838,0.4426528400724567,True,False,False,False,True,6881,39029,0.0
0.04978970735538546,-0.29092848853510406,0.37168243017737096,False,False,False,False,True,6960,38043,0.0
-0.09138462072066922,-0.3970515509511091,0.2419926139460471,False,False,False,False,True,6807,38032,0.0
0.1213488164359175,-0.19091368114359433,0.4089878255698224,False,False,False,False,True,6582,37727,0.3
0.16480195298499395,-0.15589557492518336,0.4736971232285668,True,False,False,False,True,5764,39910,0.3
0.22469468050534375,-0.10426023042376883,0.5753042637336901,True,False,False,False,True,6696,38208,0.3
0.25024594794775784,-0.10892931832750362,0.5862828767165201,True,False,False,False,True,6291,37814,0.3
0.20178693119965424,-0.12031092275055277,0.5203751512866788,True,False,False,False,True,7379,37814,0.3
0.470666060005309,0.1817108750326466,0.7463420225067284,True,False,False,True,True,7308,36935,0.3
0.1088033390805207,-0.2171128954678117,0.43200061530073924,True,False,False,False,True,6861,39707,0.3
0.2958942477166768,-0.0761425281509198,0.6743906044247601,True,False,False,False,True,6436,38724,0.3
0.2971318119654562,0.028733177635846836,0.5537139987143525,True,False,False,True,True,6872,38180,0.3
0.19964081536910622,-0.23349508618128983,0.488653201183512,True,False,False,False,True,6900,39006,0.3
0.38456968267185343,0.06265067110165223,0.6878443877313738,True,False,False,True,True,6555,38657,0.3
0.16899188577060825,-0.12198986315931663,0.44684120471986544,True,False,False,False,True,6466,37935,0.3
0.46762379874064597,0.16717415932966356,0.8416013141667661,True,False,False,True,True,6961,38748,0.3
0.1213488164359175,-0.2292455503682686,0.4427931045141945,True,False,False,False,True,6564,38833,0.3
0.20316848588445263,-0.12508458198636802,0.4803871705288757,True,False,False,False,True,6469,39015,0.3
