setup,n,gap,o10,c10,o20,c20,w_o10,w_c10,drop10,kept10
G3→L46 🕐,34961,0.04295532646048095,0.9483167377904111,1.0005197505197572,1.546391752577314,1.664684898929858,55.925173765052484,56.12825720088098,-0.05220301272934602,1.055048076923096
QZ-Capit🔵dwell,60263,0.0576900888427323,0.7137040762561497,0.7710100231302919,1.2142955705809255,1.2714857546503477,54.886082670958956,55.35403149527903,-0.057305946874142144,1.0802937082477513
🔄DualReclaim deep,1552,0.0,1.876447936732839,1.9481099080596143,2.7757790963150786,2.784902690652047,63.85309278350515,63.53092783505154,-0.07166197132677521,1.0381902262908231
Zone-Retest🕐DR,21590,0.0,0.6765035833263155,0.7529755476401223,1.3470189481157413,1.3919025969552967,54.75220009263548,55.18295507179249,-0.07647196431380676,1.113039998898158
L43-TRIPLE🏆RS,329,0.0,1.6113744075829217,1.6955139526668939,3.9853076216712413,4.804593070104746,60.790273556231,63.525835866261396,-0.08413954508397214,1.0522160118021127
G3→G3🕐DR,3349,0.0,2.2543429253414793,2.3492023928215477,3.6893504882963724,3.5386381025248603,64.40728575694237,64.76560167214093,-0.09485946748006846,1.042078543780423
NS→SC,842,0.019867910811266487,1.7051281049828781,1.8008583236548525,2.5811355576526918,2.4584483188523576,59.026128266033254,59.14489311163895,-0.0957302186719744,1.0561425375561069
ZRT🟢🔎iv,13454,0.03582481088337808,0.5527225022081361,0.6494797791364193,1.3462726138985026,1.5116032823805248,54.27382191169913,54.779247807343545,-0.09675727692828318,1.1750557948007112
Washout🧊CONSO,14121,0.0520156046813991,0.5718175629680022,0.671516508114145,0.9019607843137267,1.0714285714285676,54.41540967353586,55.44933078393881,-0.09969894514614275,1.1743544647853388
ZRT🟢L46,15053,0.0342465753424781,0.5339978640085397,0.6366156689598501,1.337683523654154,1.49490745810974,54.11545871254899,54.59376868398326,-0.10261780495131045,1.1921689427388222
⚡G3-Abs,11230,0.16538694488403838,1.2425260138571592,1.359041678192352,2.231957773453752,2.1665242739813295,58.29029385574355,58.753339269813,-0.11651566433519278,1.0937732192612166
⚡G3-Abs🏆RS,2739,0.16839066634593003,1.5806886410979049,1.7052767052767148,3.311696117321783,3.3131313131313123,60.09492515516612,61.62833150784957,-0.12458806417880997,1.078818852074672
G3-gap,21677,0.11787819253439302,1.174345076784089,1.3063357282821597,2.2007912957467957,2.0528520181056775,57.22194030539281,57.83088065691747,-0.13199065149807065,1.1123951163141275
ZRT🟢L46🔵dw,11532,0.020202049883644158,0.5443831107097008,0.6769860265052663,1.4465354483894188,1.5752760466698823,54.46583420048561,55.24627124523066,-0.1326029157955655,1.2435838165932331
