universe,signal,composite,1D,1H,4H,cells,worst,pos
sp500,Z4,Z4L46NUR,0.381,0.087,0.266,3,0.087,3
sp500,T1G,T1GL12EB,,0.087,0.107,2,0.087,2
russell2k,Z2G,Z2GL46ED,0.098,0.087,0.175,3,0.087,3
sp500,T9,T9L12ND,0.103,0.086,0.267,3,0.086,3
sp500,Z2,Z2L5EB,0.468,0.085,0.358,3,0.085,3
sp500,T3,T3L34NH,0.262,0.085,0.379,3,0.085,3
sp500,Z2,Z2L46NR,0.332,0.085,0.358,3,0.085,3
sp500,T4,T4L12NUR,0.446,0.084,0.298,3,0.084,3
sp500,T9,T9L34NU,0.624,0.084,0.414,3,0.084,3
sp500,T9,T9L34ND,0.273,0.084,0.346,3,0.084,3
sp500,Z2G,Z2GL46NB,,0.085,0.083,2,0.083,2
sp500,T2,T2L34NB,0.167,0.083,0.32,3,0.083,3
sp500,Z2,Z2L46NB,0.082,0.098,0.212,3,0.082,3
sp500,T2G,T2GL34NU,0.326,0.081,0.144,3,0.081,3
sp500,T9,T9L34NDP,0.22,0.081,0.514,3,0.081,3
sp500,T9,T9L12NP,0.373,0.115,0.08,3,0.08,3
sp500,T1,T1L12EB,0.118,0.08,0.206,3,0.08,3
nasdaq,Z11,Z11L3NUR,,0.08,0.101,2,0.08,2
sp500,Z10,Z10L12NR,0.324,0.08,0.408,3,0.08,3
sp500,Z5,Z5L12NUR,0.28,0.08,0.383,3,0.08,3
sp500,Z2,Z2L5ED,0.248,0.079,0.233,3,0.079,3
russell2k,Z1G,Z1GL5EB,0.432,0.079,0.263,3,0.079,3
sp500,T1,T1L12NH,0.144,0.079,0.084,3,0.079,3
sp500,Z2G,Z2GL5EB,,0.078,0.567,2,0.078,2
sp500,T12,T12L5EB,,0.078,0.314,2,0.078,2
sp500,Z3,Z3L46NU,0.429,0.078,0.167,3,0.078,3
sp500,Z1G,Z1GL46EB,0.755,0.107,0.077,3,0.077,3
sp500,T9,T9L34NUR,0.296,0.077,0.257,3,0.077,3
sp500,T2G,T2GL12EB,0.717,0.076,0.248,3,0.076,3
sp500,Z9,Z9L46NB,0.253,0.076,0.318,3,0.076,3
sp500,Z5,Z5L4NU,,0.076,0.475,2,0.076,2
sp500,Z2,Z2L5EDP,0.429,0.075,0.304,3,0.075,3
sp500,Z6,Z6L25NB,0.43,0.075,0.399,3,0.075,3
sp500,Z11,Z11L12EB,,0.075,0.074,2,0.074,2
sp500,T1,T1L12NP,0.841,0.074,0.302,3,0.074,3
sp500,Z2G,Z2GL5EDP,0.587,0.074,0.361,3,0.074,3
sp500,Z5,Z5L12NU,0.62,0.074,0.323,3,0.074,3
sp500,Z6,Z6L5EDP,0.798,0.074,0.133,3,0.074,3
sp500,T11,T11L46NDP,0.596,0.126,0.074,3,0.074,3
sp500,T9,T9L34NB,0.796,0.073,0.32,3,0.073,3
russell2k,Z6,Z6L5EB,0.268,0.073,0.156,3,0.073,3
sp500,T2G,T2GL12EU,0.264,0.072,0.197,3,0.072,3
sp500,Z3,Z3L25NU,0.448,0.072,0.227,3,0.072,3
sp500,Z9,Z9L46NH,0.908,0.072,0.26,3,0.072,3
sp500,T10,T10L46NH,,0.071,0.769,2,0.071,2
sp500,T6,T6L12NH,0.338,0.071,0.361,3,0.071,3
sp500,Z3,Z3L25NB,0.555,0.071,0.272,3,0.071,3
sp500,Z5,Z5L34NB,0.231,0.071,0.32,3,0.071,3
sp500,Z1,Z1L25NH,0.127,0.07,0.43,3,0.07,3
sp500,Z11,Z11L12EUR,,0.07,0.135,2,0.07,2
sp500,Z9,Z9L46NUR,0.367,0.07,0.174,3,0.07,3
sp500,T3,T3L12NR,0.137,0.07,0.173,3,0.07,3
sp500,Z9,Z9L46NU,0.15,0.069,0.175,3,0.069,3
sp500,Z9,Z9L46NDP,0.542,0.068,0.068,3,0.068,3
sp500,Z1G,Z1GL5ED,0.336,0.067,0.236,3,0.067,3
sp500,Z1,Z1L46NDP,0.154,0.067,0.251,3,0.067,3
sp500,Z10,Z10L12NDP,0.554,0.067,0.11,3,0.067,3
sp500,Z4,Z4L25NUR,0.414,0.067,0.263,3,0.067,3
russell2k,T12,T12L25NB,0.211,0.067,0.107,3,0.067,3
sp500,T9,T9L12NDP,0.372,0.066,0.211,3,0.066,3
sp500,Z2G,Z2GL25ND,0.382,0.066,0.228,3,0.066,3
sp500,T1,T1L3EU,0.375,0.065,0.27,3,0.065,3
sp500,Z2,Z2L46NH,0.492,0.065,0.124,3,0.065,3
