ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
LGIH,8767,-0.685,6.937,-0.504,-0.378,-0.518,-0.596,0.01,-1.21,-1.706,-3.948,0.181,0.307,0.167,0.089,0.695,-0.525,-1.02,1
LGND,7424,0.363,6.764,0.534,0.106,-0.427,0.332,0.079,0.155,0.345,-2.742,0.171,-0.257,-0.79,-0.031,-0.285,-0.208,-0.019,0
LH,8867,0.102,3.276,0.148,0.278,0.148,0.023,-0.058,-0.028,0.749,-0.792,0.046,0.176,0.046,-0.079,-0.16,-0.13,0.647,0
LHX,8867,0.182,3.37,0.275,0.139,0.319,0.137,0.257,0.265,-0.072,0.335,0.093,-0.043,0.137,-0.045,0.075,0.083,-0.254,0
LIF,3541,0.764,8.918,0.851,0.513,0.746,1.538,0.17,-0.563,1.234,3.584,0.087,-0.251,-0.018,0.775,-0.594,-1.327,0.47,0
LII,8867,0.137,4.429,0.579,0.113,-0.102,-0.336,0.221,0.061,1.623,-3.67,0.442,-0.024,-0.239,-0.473,0.084,-0.076,1.486,0
LILAK,7121,0.0,6.725,0.888,0.157,0.131,-0.109,0.62,0.265,-0.985,-5.231,0.888,0.157,0.131,-0.109,0.62,0.265,-0.985,1
LIN,8867,0.361,2.756,0.551,0.254,0.229,0.625,0.293,0.463,0.093,-0.824,0.19,-0.107,-0.133,0.264,-0.069,0.102,-0.268,0
LIND,3610,1.256,15.865,2.057,0.0,3.69,0.093,0.127,0.686,1.313,-6.312,0.801,-1.256,2.434,-1.163,-1.129,-0.571,0.057,2
LINE,3496,-0.816,5.022,0.231,-0.9,-0.959,-0.97,-0.446,-0.572,-0.973,-0.718,1.048,-0.084,-0.143,-0.154,0.371,0.244,-0.157,0
LITE,8867,0.525,8.082,0.545,0.042,0.021,0.439,0.853,1.565,0.387,-2.907,0.02,-0.483,-0.503,-0.085,0.329,1.041,-0.138,0
LIVN,8824,-0.019,5.583,0.294,0.446,0.041,-0.397,0.286,-0.103,-0.408,-0.998,0.313,0.465,0.06,-0.377,0.305,-0.084,-0.389,0
LKFN,5775,-0.18,5.309,0.403,-0.222,-0.309,-0.091,-0.156,-0.592,-0.469,-0.263,0.583,-0.042,-0.128,0.089,0.024,-0.411,-0.289,0
LKQ,8867,0.0,3.951,0.082,0.115,0.08,-0.158,0.173,0.406,-0.616,-0.348,0.082,0.115,0.08,-0.158,0.173,0.406,-0.616,0
LLY,8867,0.724,4.69,0.927,0.34,0.701,0.614,-0.155,1.249,-0.129,-3.92,0.204,-0.384,-0.023,-0.109,-0.879,0.525,-0.853,2
LLYVA,3486,1.102,5.613,0.73,0.395,0.774,1.705,0.09,0.14,-0.442,-3.008,-0.372,-0.707,-0.328,0.603,-1.012,-0.962,-1.544,2
LLYVK,4816,0.82,4.646,1.099,0.391,0.352,1.039,0.568,0.759,-0.19,0.037,0.279,-0.429,-0.468,0.219,-0.252,-0.06,-1.01,0
LMAT,5781,0.517,5.719,1.731,0.874,0.27,0.204,1.945,-0.352,-0.244,-2.082,1.214,0.357,-0.247,-0.313,1.427,-0.869,-0.761,1
LMB,4796,1.127,9.284,0.585,0.741,1.83,1.22,0.973,1.965,1.044,-2.145,-0.542,-0.386,0.703,0.093,-0.154,0.838,-0.083,2
LMND,8865,-0.993,11.873,-1.1,-1.181,-1.516,-0.917,-1.722,-0.235,-0.972,-5.353,-0.107,-0.188,-0.522,0.076,-0.729,0.759,0.022,3
LMT,8867,0.232,3.475,0.237,0.203,0.359,0.315,0.279,0.191,0.169,0.231,0.004,-0.03,0.127,0.082,0.046,-0.042,-0.064,0
LNC,8867,0.466,5.841,0.391,0.894,0.49,0.231,0.449,0.134,0.914,-0.763,-0.075,0.428,0.024,-0.235,-0.016,-0.332,0.448,0
LNG,8867,0.327,4.117,1.194,0.486,0.054,0.104,1.008,0.074,0.486,-1.93,0.867,0.159,-0.273,-0.223,0.681,-0.253,0.159,0
LNN,6407,-0.049,4.931,1.155,0.184,-0.285,-0.243,0.278,-1.184,0.028,-0.726,1.204,0.233,-0.236,-0.194,0.327,-1.135,0.077,0
LNT,8867,0.255,2.682,0.268,0.534,0.514,0.188,0.627,0.071,0.514,0.039,0.013,0.279,0.26,-0.067,0.372,-0.184,0.259,0
LNTH,8744,0.483,8.452,-0.338,0.529,1.234,0.247,0.509,0.603,0.091,-3.621,-0.821,0.047,0.751,-0.235,0.026,0.12,-0.392,2
LOAR,3854,0.0,6.668,-1.174,0.546,0.704,-0.694,-0.351,0.91,0.144,0.65,-1.174,0.546,0.704,-0.694,-0.351,0.91,0.144,2
LOB,6846,0.0,7.763,-0.058,-0.37,-0.145,0.136,-0.428,-0.214,-1.341,-3.095,-0.058,-0.37,-0.145,0.136,-0.428,-0.214,-1.341,2
LOGI,8867,0.287,4.995,0.374,0.195,-0.214,0.293,0.427,-0.227,0.152,0.386,0.087,-0.093,-0.501,0.005,0.14,-0.514,-0.135,0
LOPE,8816,0.373,4.252,0.475,0.134,0.446,0.243,-0.1,0.608,0.045,-0.526,0.102,-0.24,0.072,-0.131,-0.473,0.235,-0.328,0
LOVE,7103,-0.658,10.839,-0.878,-0.852,-1.342,0.265,-0.277,-0.463,-2.072,-4.665,-0.221,-0.195,-0.684,0.922,0.381,0.195,-1.414,3
LOW,8867,0.097,3.595,0.075,0.128,0.424,-0.117,0.234,-0.292,0.665,-0.785,-0.022,0.031,0.328,-0.213,0.138,-0.389,0.569,0
