seed,delta,needle,pseudo,band_p95,best_est,best_cell,n_promoted,unrelated_false_promotions,overlap_affected_promotions,true_cell_rank,rank_found,search_promoted,final_accepted,needle_verdict,needle_n
100022,1.5,rsi50-65&rs,rsi50-65&rs,3.182526947930455,3.629789315164089,rsi<35&rs,1,1,0,26.0,False,False,False,,36762.0
100023,1.5,sig_conso+sig_lead_in_lag+sig_h1_dr,sig_conso+sig_lead_in_lag+sig_h1_dr,3.2210153341293335,4.050182644277811,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,11489.0
100024,1.5,¬sig_lead_in_lag,¬sig_lead_in_lag,3.200588431209326,3.2904844731092453,rsi<35&rs,1,0,1,34.0,False,False,False,,253388.0
100025,1.5,¬sig_conso,¬sig_conso,3.3839485235512257,3.9517268873751163,rsi<35&rs,1,0,1,5.0,True,False,False,NOT_PROMOTED,77937.0
100026,1.5,sig_conso+sig_lead_in_lag+sig_h1_dr,sig_conso+sig_lead_in_lag+sig_h1_dr,3.2719994196668267,4.050182644277811,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,11489.0
100027,1.5,¬sig_h1_dr,¬sig_h1_dr,3.0927503069862725,3.1358580701053143,rsi<35&rs,1,0,1,23.0,False,False,False,,253221.0
100028,1.5,sig_h1_dr+sig_macro_vix_up,sig_h1_dr+sig_macro_vix_up,3.374284626916051,4.109594784677029,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,10952.0
100029,1.5,sig_rs_intact+sig_lead_in_lag,sig_rs_intact+sig_lead_in_lag,3.3478888416895645,4.400325380265713,rsi<35&rs,1,0,1,5.0,True,False,False,NOT_PROMOTED,36079.0
100030,1.5,rsi50-65,rsi50-65,2.9567219836637375,3.4106796607375145,rsi<35&rs,1,1,0,31.0,False,False,False,,74125.0
100031,1.5,sig_lead_in_lag+sig_h1_dr,sig_lead_in_lag+sig_h1_dr,3.254035720601678,4.139914643019438,rsi<35&rs,3,0,2,2.0,True,True,True,BUILD,14608.0
100032,1.5,¬sig_macro_vix_up,¬sig_macro_vix_up,3.039994421415031,3.687487170100212,rsi<35&rs,1,0,1,13.0,False,False,False,,228272.0
100033,1.5,adx1&rs,adx1&rs,3.090185085311532,3.706097137182951,rsi<35&rs,1,1,0,28.0,False,False,False,,22123.0
100034,1.5,sig_conso+sig_h1_dr,sig_conso+sig_h1_dr,3.353448184207082,4.2754897847771645,rsi<35&rs,1,0,1,9.0,False,False,False,,28630.0
100035,1.5,¬sig_h1_dr,¬sig_h1_dr,3.0969381175935267,3.1358580701053143,rsi<35&rs,1,0,1,23.0,False,False,False,,253221.0
100036,1.5,rsi35-50&conso,rsi35-50&conso,3.262431525439024,3.2745174961164594,rsi<35&rs,1,1,0,7.0,False,False,False,,98388.0
100037,1.5,¬sig_conso,¬sig_conso,3.285294552333653,3.9517268873751163,rsi<35&rs,1,0,1,5.0,True,False,False,NOT_PROMOTED,77937.0
100038,1.5,sig_conso+sig_macro_vix_up,sig_conso+sig_macro_vix_up,3.3454714296385646,3.9948576129972935,rsi<35&rs,1,0,1,6.0,False,False,False,,43278.0
100039,1.5,sig_lead_in_lag&rs,sig_lead_in_lag&rs,3.278786802478135,4.400325380265713,rsi<35&rs,1,0,1,4.0,True,False,False,NOT_PROMOTED,36079.0
100000,3.0,sig_lead_in_lag+sig_h1_dr,sig_lead_in_lag+sig_h1_dr,3.2796284664422273,4.867283601313829,sig_lead_in_lag+sig_h1_dr,4,0,3,1.0,True,True,True,BUILD,14608.0
100001,3.0,adx1&rs,adx1&rs,3.0733925197273493,3.5802113823592663,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,22123.0
100002,3.0,¬sig_conso,¬sig_conso,3.421119414269924,4.0265810415148735,rsi<35&rs,1,0,1,2.0,True,False,False,NOT_PROMOTED,77937.0
100003,3.0,¬sig_macro_vix_up,¬sig_macro_vix_up,2.8688890628516672,3.3829374704509974,rsi<35&rs,1,0,1,2.0,True,False,False,NOT_PROMOTED,228272.0
100004,3.0,¬sig_conso,¬sig_conso,3.484859712049365,4.0265810415148735,rsi<35&rs,1,0,1,2.0,True,False,False,NOT_PROMOTED,77937.0
100005,3.0,sig_lead_in_lag+sig_macro_vix_up,sig_lead_in_lag+sig_macro_vix_up,3.2882085628807545,4.499473676085472,sig_lead_in_lag+sig_macro_vix_up,2,1,0,1.0,True,True,True,BUILD,7087.0
100006,3.0,¬sig_h1_dr,¬sig_h1_dr,3.0442655691877007,2.34072282910347,rsi<35&rs,0,0,0,2.0,True,False,False,NOT_PROMOTED,253221.0
100007,3.0,¬sig_rs_intact,¬sig_rs_intact,2.9889671675860883,2.2608636617660522,¬sig_rs_intact,0,0,0,1.0,True,False,False,NOT_PROMOTED,189042.0
100008,3.0,sig_lead_in_lag+sig_macro_vix_up,sig_lead_in_lag+sig_macro_vix_up,3.2705662259832025,4.499473676085472,sig_lead_in_lag+sig_macro_vix_up,2,1,0,1.0,True,True,True,BUILD,7087.0
100009,3.0,sig_rs_intact+sig_conso,sig_rs_intact+sig_conso,3.529187347739935,5.113833837211132,rsi<35&rs,5,0,5,10.0,False,False,False,,78019.0
100010,3.0,rsi35-50&rs,rsi35-50&rs,3.6328087452799083,4.6905308701097965,rsi35-50&rs,2,0,1,1.0,True,True,True,BUILD,39610.0
100011,3.0,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,3.30904191210866,4.867283601313829,sig_lead_in_lag+sig_h1_dr,4,0,3,2.0,True,True,True,BUILD,14608.0
100012,3.0,sig_conso+sig_macro_vix_up,sig_conso+sig_macro_vix_up,3.466659737750888,4.175828211009502,rsi<35&rs,3,0,2,3.0,True,True,True,BUILD,43278.0
100013,3.0,rsi35-50,rsi35-50,3.423031408712268,3.6500251591205597,rsi35-50&rs,2,0,1,2.0,True,True,True,BUILD,128411.0
100014,3.0,adx3&rs,adx3&rs,3.515433879941702,4.1830431669950485,rsi<35&rs,2,0,1,2.0,True,True,True,BUILD,41432.0
100015,3.0,sig_rs_intact+sig_h1_dr,sig_rs_intact+sig_h1_dr,3.6039450377225877,5.225841023027897,rsi<35&rs,5,0,5,7.0,False,False,False,,36246.0
100016,3.0,¬sig_conso,¬sig_conso,3.400885885208845,4.0265810415148735,rsi<35&rs,1,0,1,2.0,True,False,False,NOT_PROMOTED,77937.0
100017,3.0,sig_rs_intact+sig_conso+sig_lead_in_lag,sig_rs_intact+sig_conso+sig_lead_in_lag,3.382419887930155,4.56473895162344,rsi<35&rs,5,0,4,3.0,True,True,True,BUILD,28006.0
100018,3.0,sig_conso+sig_lead_in_lag,sig_conso+sig_lead_in_lag,3.2714306503534316,4.56473895162344,rsi<35&rs,5,0,4,2.0,True,True,True,BUILD,28006.0
100019,3.0,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,3.361547171510756,4.867283601313829,sig_lead_in_lag+sig_h1_dr,4,0,3,2.0,True,True,True,BUILD,14608.0
100020,3.0,rsi<35&rs,rsi<35&rs,3.4742183132097124,6.837442956864834,rsi<35&rs,1,0,0,1.0,True,True,True,BUILD,7505.0
100021,3.0,rsi50-65&rs,rsi50-65&rs,3.0353848170489073,3.4167060628533363,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,36762.0
100022,3.0,rsi50-65&rs,rsi50-65&rs,3.0780052207410336,3.4167060628533363,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,36762.0
100023,3.0,sig_conso+sig_lead_in_lag+sig_h1_dr,sig_conso+sig_lead_in_lag+sig_h1_dr,3.268413715995848,4.673501543700695,sig_conso+sig_lead_in_lag+sig_h1_dr,4,1,2,1.0,True,True,True,BUILD,11489.0
100024,3.0,¬sig_lead_in_lag,¬sig_lead_in_lag,3.1206840431317686,2.703949622809887,rsi<35&rs,0,0,0,3.0,True,False,False,NOT_PROMOTED,253388.0
100025,3.0,¬sig_conso,¬sig_conso,3.4969571124762298,4.0265810415148735,rsi<35&rs,1,0,1,2.0,True,False,False,NOT_PROMOTED,77937.0
100026,3.0,sig_conso+sig_lead_in_lag+sig_h1_dr,sig_conso+sig_lead_in_lag+sig_h1_dr,3.3011123878881334,4.673501543700695,sig_conso+sig_lead_in_lag+sig_h1_dr,4,1,2,1.0,True,True,True,BUILD,11489.0
100027,3.0,¬sig_h1_dr,¬sig_h1_dr,2.9397693214938045,2.34072282910347,rsi<35&rs,0,0,0,2.0,True,False,False,NOT_PROMOTED,253221.0
100028,3.0,sig_h1_dr+sig_macro_vix_up,sig_h1_dr+sig_macro_vix_up,3.401078525930643,4.381542652845383,rsi<35&rs,2,1,0,2.0,True,True,True,BUILD,10952.0
100029,3.0,sig_rs_intact+sig_lead_in_lag,sig_rs_intact+sig_lead_in_lag,3.4156693490222096,4.848461572080851,rsi<35&rs,5,0,4,3.0,True,True,True,BUILD,36079.0
100030,3.0,rsi50-65,rsi50-65,2.7343613466247914,2.9749703854322433,rsi<35&rs,1,1,0,4.0,True,False,False,NOT_PROMOTED,74125.0
100031,3.0,sig_lead_in_lag+sig_h1_dr,sig_lead_in_lag+sig_h1_dr,3.321953471750021,4.867283601313829,sig_lead_in_lag+sig_h1_dr,4,0,3,1.0,True,True,True,BUILD,14608.0
100032,3.0,¬sig_macro_vix_up,¬sig_macro_vix_up,2.8765264176763594,3.3829374704509974,rsi<35&rs,1,0,1,2.0,True,False,False,NOT_PROMOTED,228272.0
100033,3.0,adx1&rs,adx1&rs,3.0454602045938373,3.5802113823592663,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,22123.0
100034,3.0,sig_conso+sig_h1_dr,sig_conso+sig_h1_dr,3.5062771309167147,4.795762684196234,rsi<35&rs,5,0,4,5.0,True,True,True,BUILD,28630.0
100035,3.0,¬sig_h1_dr,¬sig_h1_dr,2.948009540885687,2.34072282910347,rsi<35&rs,0,0,0,2.0,True,False,False,NOT_PROMOTED,253221.0
100036,3.0,rsi35-50&conso,rsi35-50&conso,3.276018649339676,3.492786057293415,rsi35-50&conso,2,0,1,1.0,True,True,True,BUILD,98388.0
100037,3.0,¬sig_conso,¬sig_conso,3.3928635574877264,4.0265810415148735,rsi<35&rs,1,0,1,2.0,True,False,False,NOT_PROMOTED,77937.0
100038,3.0,sig_conso+sig_macro_vix_up,sig_conso+sig_macro_vix_up,3.4793951315805316,4.175828211009502,rsi<35&rs,3,0,2,3.0,True,True,True,BUILD,43278.0
100039,3.0,sig_lead_in_lag&rs,sig_lead_in_lag&rs,3.315560215525329,4.848461572080851,rsi<35&rs,5,0,4,4.0,True,True,True,BUILD,36079.0
100000,6.0,sig_lead_in_lag+sig_h1_dr,sig_lead_in_lag+sig_h1_dr,3.4184792125597596,7.867283601313829,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,5,0,4,2.0,True,True,True,BUILD,14608.0
100001,6.0,adx1&rs,adx1&rs,2.9799146950244904,5.037550273351371,adx1&rs,2,1,0,1.0,True,True,True,BUILD,22123.0
100002,6.0,¬sig_conso,¬sig_conso,3.7100395932793617,6.262274593114853,¬sig_conso,2,0,1,1.0,True,True,True,BUILD,77937.0
100003,6.0,¬sig_macro_vix_up,¬sig_macro_vix_up,5.677133187651634,5.677133187651634,¬sig_macro_vix_up,0,0,0,1.0,True,False,False,NOT_PROMOTED,228272.0
100004,6.0,¬sig_conso,¬sig_conso,3.746629094029777,6.262274593114853,¬sig_conso,2,0,1,1.0,True,True,True,BUILD,77937.0
