dp,arr,arr_lo,arr_hi,rr,rr_lo,n_events,n_dates,R1,R2,R3,R4,R6,EST,verdict
0.0,-0.9340431259166615,-2.935661751417765,0.9318706221901815,0.9729902125088195,0.9167393279327779,38864,520,False,False,False,True,True,False,False
0.0,-1.4980865131790921,-3.4479123017492013,0.54215260483524,0.9569615308169674,0.9023280319504504,38535,520,False,False,False,True,True,False,False
0.0,0.912602013146091,-1.1396953121756261,3.105478561210511,1.0269625602648425,0.9666624967865143,39757,520,False,False,False,True,True,False,False
0.0,0.805741087225742,-1.429686754252538,3.0290714751792773,1.0237767684850256,0.9585771213561878,39876,520,False,False,False,True,False,False,False
0.0,0.8412919837742727,-1.2259018651132723,2.5550902502723996,1.0248440551929456,0.9649684223751994,41163,520,False,False,False,True,True,False,False
0.0,-0.11495339557386353,-2.294559342963888,2.0802942199899106,0.9966440953214483,0.9355266893123856,39303,520,False,False,False,True,True,False,False
0.0,-1.3119054046430545,-3.316723405381374,1.057980276269875,0.9622186749855173,0.9068323325446725,37925,520,False,False,False,True,True,False,False
0.0,-0.8687456944724059,-2.997822635396459,0.8004318234968973,0.9748750049695041,0.9164197731499437,41333,520,False,False,False,True,True,False,False
0.0,-1.1618961244649118,-3.160679780984865,0.6513930588059679,0.9664841195138348,0.9110697604741793,38224,520,False,False,False,True,True,False,False
0.0,-1.543337475501344,-3.7967209300296476,0.6560614393947227,0.9556708094724983,0.894324808731864,37817,520,False,False,False,True,True,False,False
0.0,-0.09684643905618628,-2.4403525333497935,2.477160280735209,0.9971720989224909,0.930242481017487,39214,520,False,False,False,True,True,False,False
0.0,0.06199376321373018,-2.029637032971749,2.141088057853517,1.0018135555939736,0.9412675618676737,39456,520,False,False,False,True,True,False,False
0.0,1.519118247840523,-0.4165438485641161,3.659502794633247,1.0451885652381792,0.9876870739032823,39493,520,False,False,False,True,False,False,False
0.0,-0.7076005567344335,-2.6560791828298056,1.362599322118206,0.9794897374500232,0.9243365355171279,40231,520,False,False,False,True,True,False,False
0.0,-0.4938529123843849,-2.648945046558941,1.4408213610639415,0.9856479032543349,0.9241441458680315,39992,520,False,False,False,True,True,False,False
0.0,-1.236703326830102,-3.382997900936611,0.680119087054696,0.9643570727910048,0.9045195919198226,38208,520,False,False,False,True,True,False,False
0.0,-0.8626443792134397,-3.0018784507939564,1.3629485086918574,0.975030169532571,0.9149031154759308,38270,520,False,False,False,True,True,False,False
