delta,planted,rep,band,theta_hat,truth,known_location_accept,planted_rank,rank_le_3,rank_le_5,search_promoted,final_accept,rank_of_max_true,regret,selected,n_promoted
1.5,sig_lead_in_lag,4,0.5216797823110032,1.6448427377317723,1.5000000000000002,True,1,True,True,True,True,1,0.0,sig_lead_in_lag,5
1.5,rsi<35&rs,0,0.6201444757403569,1.8796708730275045,1.5,True,1,True,True,True,True,1,0.0,rsi<35&rs,1
1.5,adx0,1,0.35705708464609687,1.4829496066750814,1.5000000000000004,True,1,True,True,True,True,1,0.0,adx0,2
1.5,adx-1,1,1.318765218992612,1.6767393423595611,1.5,True,1,True,True,True,True,1,0.0,adx-1,1
1.5,adx3,3,0.27203378121924504,1.4156664708115538,1.4999999999999998,True,1,True,True,True,True,1,0.0,adx3,5
1.5,sig_conso+sig_h1_dr,2,0.3649322444916854,1.5632083038678801,1.5,True,1,True,True,True,True,1,0.0,sig_conso+sig_h1_dr,5
1.5,adx2&rs,2,0.3377662534168887,1.568737399874503,1.5000000000000002,True,1,True,True,True,True,1,0.0,adx2&rs,3
1.5,rsi>=65,3,0.4135335075673178,1.4153582325525873,1.5,True,1,True,True,True,True,1,0.0,rsi>=65,3
1.5,sig_conso+sig_lead_in_lag,1,0.44006930876494676,1.629466243671141,1.4999999999999998,True,1,True,True,True,True,1,0.0,sig_conso+sig_lead_in_lag,5
1.5,adx1,4,0.5571891867482358,1.6078460050384697,1.4999999999999998,True,1,True,True,True,True,1,0.0,adx1,2
1.5,sig_rs_intact+sig_conso,0,0.593180499225045,1.4837606620535932,1.4999999999999998,True,1,True,True,True,True,1,0.0,sig_rs_intact+sig_conso,5
1.5,sig_h1_dr,1,0.4412881707584206,1.5134033266604572,1.5,True,2,True,True,True,True,2,0.07499238657024399,sig_conso+sig_h1_dr,5
1.5,adx1&rs,4,0.5928795334958967,1.5934704288450274,1.4999999999999996,True,1,True,True,True,True,1,0.0,adx1&rs,2
1.5,rsi50-65&rs,3,0.36653799631017564,1.5020281228619163,1.5000000000000002,True,1,True,True,True,True,1,0.0,rsi50-65&rs,4
1.5,adx-1,3,1.3760192649979328,1.8004236373702287,1.5,True,1,True,True,True,True,1,0.0,adx-1,1
1.5,rsi<35&rs,1,0.574300789562577,1.8636535758280472,1.5,True,1,True,True,True,True,1,0.0,rsi<35&rs,1
1.5,rsi50-65,1,0.32543501925640633,1.467253955600686,1.4999999999999998,True,1,True,True,True,True,1,0.0,rsi50-65,4
1.5,¬sig_conso,2,0.3254532217405111,1.4760726025270838,1.5,True,1,True,True,True,True,1,0.0,¬sig_conso,5
1.5,sig_conso,3,0.429839805960646,1.5259554351170903,1.5000000000000002,True,1,True,True,True,True,1,0.0,sig_conso,5
1.5,rsi50-65&conso,2,0.30438573953302855,1.46312510850284,1.5000000000000002,True,1,True,True,True,True,1,0.0,rsi50-65&conso,4
1.5,sig_lead_in_lag,2,0.2774483934812875,1.449091625723496,1.5000000000000002,True,1,True,True,True,True,1,0.0,sig_lead_in_lag,5
1.5,rsi50-65,4,0.5803024526965453,1.5268860936385416,1.5,True,1,True,True,True,True,1,0.0,rsi50-65,3
