seed,delta,needle,pseudo,band_p95,best_est,best_cell,n_promoted,unrelated_false_promotions,overlap_affected_promotions,true_cell_rank,rank_found,search_promoted,final_accepted,needle_verdict,needle_n,freeze_commit
1332777622,0.0,,sig_lead_in_lag,3.268423406407237,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
557069354,0.0,,sig_conso+sig_macro_vix_up,3.242011731490493,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
2009178951,0.0,,adx3,3.243816434405744,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1623035070,0.0,,¬sig_h1_dr,3.2533101504668593,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1211265584,0.0,,rsi<35&rs,3.256150661036372,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
972201505,0.0,,¬sig_macro_vix_up,3.221329478546977,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
191344934,0.0,,rsi50-65&rs,3.2942759431898594,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1300548837,0.0,,adx3&rs,3.30849832855165,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
2081914319,0.0,,sig_lead_in_lag+sig_macro_vix_up,3.2641535717993975,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1926420806,0.0,,sig_rs_intact+sig_h1_dr,3.220511353574693,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
454850902,0.0,,sig_h1_dr,3.2079891208559275,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
871249315,0.0,,sig_conso&rs,3.1720320228487253,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1755473404,0.0,,rsi<35&conso,3.308763108216226,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
398212023,0.0,,sig_conso+sig_lead_in_lag+sig_h1_dr,3.269391246140003,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
454700906,0.0,,sig_lead_in_lag+sig_macro_vix_up,3.2306526880711317,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
374750138,0.0,,sig_macro_vix_up,3.2218492589890957,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
326593817,0.6,sig_lead_in_lag+sig_h1_dr,sig_lead_in_lag+sig_h1_dr,3.2903912194818257,3.954655764997005,rsi<35&rs,1,0,1,2.0,True,False,False,NOT_PROMOTED,14608.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
696291679,0.6,sig_rs_intact,sig_rs_intact,3.3289722536504263,4.230200307816267,rsi<35&rs,1,0,1,21.0,False,False,False,,100425.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
62651166,0.6,rsi<35,rsi<35,3.392663318403065,4.342564003914594,rsi<35&rs,1,0,1,3.0,True,False,False,NOT_PROMOTED,60765.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1618254205,0.6,sig_rs_intact+sig_conso+sig_lead_in_lag,sig_rs_intact+sig_conso+sig_lead_in_lag,3.255928815342486,4.016735497862101,rsi<35&rs,1,0,1,10.0,False,False,False,,28006.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1223711251,0.6,sig_lead_in_lag+sig_macro_vix_up,sig_lead_in_lag+sig_macro_vix_up,3.2889032317325473,3.893093951046467,rsi<35&rs,1,1,0,3.0,True,False,False,NOT_PROMOTED,7087.0,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
