ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
DECK,🏦majority,0.902,8.267,-1.844,0.508,2.818,-0.35,-1.584,,-1.265,-9.732
DELL,🏦majority,1.828,10.261,0.833,-0.052,-0.115,0.485,-3.12,-0.182,-5.38,-2.599
DFS,🏦majority,0.859,7.107,1.677,1.347,-0.766,-2.246,-0.36,0.629,-1.228,
DG,🏦majority,0.214,7.17,0.644,-1.294,0.972,0.016,-0.972,-0.295,-3.331,
DGX,🏦majority,0.475,4.285,-0.53,0.217,1.093,-0.513,-0.636,-1.542,2.415,
DHI,🏦majority,0.276,6.646,0.926,-1.129,-1.248,-1.518,0.87,-0.399,4.152,
DHR,🏦majority,0.0,5.289,0.105,0.504,-0.8,-0.049,2.007,,1.395,
DIS,🏦majority,-0.664,6.056,1.721,-0.344,-1.742,0.303,0.884,,0.979,
DKNG,🏦majority,-0.43,11.513,-0.303,-0.457,-0.086,-0.316,1.44,-1.743,2.593,-4.2
DLR,🏦majority,0.635,5.491,0.046,0.251,-0.839,-0.971,0.461,1.435,-1.05,
DLTR,🏦majority,0.798,7.859,-0.265,-2.451,0.965,-0.268,-1.597,0.478,-2.249,
DOC,🏦majority,-0.161,6.543,-0.19,0.374,-0.755,-0.427,0.957,,-0.983,
DOCN,🏦majority,0.595,13.949,-0.997,-1.062,2.674,-0.385,1.784,-1.897,-0.69,
DOV,🏦majority,0.335,4.671,0.31,-0.178,1.3,-0.114,1.979,0.027,0.161,
DOW,🏦majority,-0.459,6.607,-0.325,0.319,0.33,1.008,-0.285,-2.499,0.66,
DPZ,🏦majority,0.109,5.616,0.497,-0.626,0.723,0.569,1.504,-0.517,1.744,
DRI,🏦majority,0.414,4.641,-0.538,1.4,-0.165,-0.472,0.295,-0.242,1.148,
DTE,🏦majority,0.352,3.853,0.72,0.272,-0.037,-0.241,0.754,-0.367,-0.03,-2.967
DUK,🏦majority,0.355,3.464,0.99,0.105,-0.15,-0.077,1.25,0.474,-0.966,-1.914
DUOL,🏦majority,-0.144,13.072,-1.714,-0.226,1.19,0.292,-0.272,2.783,-0.846,-6.501
DVA,🏦majority,0.494,7.473,0.978,0.319,-0.001,-1.062,1.602,-1.389,2.002,-2.786
DVN,🎰lottery,0.14,7.962,1.821,0.346,-1.035,-1.824,0.994,0.893,1.679,-13.209
DXCM,🏦majority,0.614,8.862,-0.74,-0.178,1.01,0.008,-0.83,-2.383,1.323,
EA,🏦majority,0.37,4.773,-0.189,0.333,0.4,-0.047,-0.141,-1.154,0.794,
EBAY,🎰lottery,0.716,5.913,1.325,-0.059,0.244,-0.526,2.307,0.218,1.038,-17.42
ECL,🏦majority,0.653,4.465,-0.552,0.806,-0.499,-0.161,0.862,0.087,0.269,
ED,🏦majority,0.557,3.748,0.261,0.0,0.265,-0.377,0.229,-0.041,0.279,
EFX,🏦majority,0.036,6.395,0.701,-0.726,-0.832,0.114,-0.284,1.733,0.236,-0.023
EG,⚡panic,0.387,4.207,3.537,0.872,0.499,-0.563,1.212,0.414,3.435,
EIX,🏦majority,0.756,5.178,0.916,0.207,-0.124,-0.377,-1.547,-0.411,-0.832,-1.553
EL,🏦majority,-0.252,8.128,-1.315,-0.69,0.698,-0.952,-1.402,0.739,3.93,
ELV,🏦majority,0.0,5.549,0.469,0.616,0.288,-0.042,1.966,-0.188,0.861,
EME,⚡panic,1.251,6.311,4.021,-0.558,-1.157,0.933,0.8,2.008,0.362,-6.082
