delta,seed,cell,truth,est,bias,lo,hi,width,covered,estimator,evidence,materiality,validity,final,blocking
0.0,2,rsi35-50&conso,0.0,0.0645250715751636,0.0645250715751636,-0.057720909657847,0.1678503424566418,0.2255712521144888,True,False,False,False,True,False,
0.0,2,rsi50-65&conso,0.0,0.010574759996857693,0.010574759996857693,-0.09152051183475737,0.10953814118649102,0.2010586530212484,True,False,False,False,True,False,
0.0,2,adx1&rs,0.0,-0.054042004746034926,-0.054042004746034926,-0.23632486918463844,0.12382183878697561,0.3601467079716141,True,False,False,False,True,False,
0.0,2,adx2&rs,0.0,0.07740738692109782,0.07740738692109782,-0.1195574123328136,0.26024892637396346,0.37980633870677705,True,False,False,False,True,False,
0.0,2,adx3&rs,0.0,-0.11491570009253357,-0.11491570009253357,-0.2747972279571219,0.032557105397634775,0.3073543333547567,True,False,False,False,True,False,
0.0,3,sig_rs_intact,0.0,0.07423481030754212,0.07423481030754212,-0.0704166999510022,0.20671231707926235,0.27712901703026455,True,False,False,False,True,False,
0.0,3,¬sig_rs_intact,0.0,-0.09584620675922337,-0.09584620675922337,-0.2782956790882292,0.08257317781000303,0.3608688568982322,True,False,False,False,True,False,
0.0,3,sig_conso,0.0,0.04599525445036641,0.04599525445036641,-0.06589197295655758,0.20029579970656905,0.26618777266312665,True,False,False,False,True,False,
0.0,3,¬sig_conso,0.0,-0.0884216650275588,-0.0884216650275588,-0.23515333903959257,0.03060397134571949,0.26575731038531203,True,False,False,False,True,False,
0.0,3,sig_lead_in_lag,0.0,0.03582936582565326,0.03582936582565326,-0.15434836648290906,0.1792827867849794,0.33363115326788845,True,False,False,False,True,False,
0.0,3,¬sig_lead_in_lag,0.0,-0.0555312660504665,-0.0555312660504665,-0.23401219806215573,0.1421154657393809,0.3761276638015366,True,False,False,False,True,False,
0.0,3,sig_h1_dr,0.0,-0.009914451981665223,-0.009914451981665223,-0.1823270412078587,0.17995346526199932,0.362280506469858,True,False,False,False,True,False,
0.0,3,¬sig_h1_dr,0.0,-0.02060272398748635,-0.02060272398748635,-0.19517317049458366,0.15926899520558327,0.35444216570016696,True,False,False,False,True,False,
0.0,3,sig_macro_vix_up,0.0,0.004773680080035805,0.004773680080035805,-0.47647919048493326,0.4113788233418669,0.8878580138268002,True,False,False,False,True,False,
0.0,3,¬sig_macro_vix_up,0.0,-0.02560457137562064,-0.02560457137562064,-0.4742931572491962,0.46626170412775264,0.9405548613769488,True,False,False,False,True,False,
0.0,3,sig_rs_intact+sig_conso,0.0,0.06500582626172632,0.06500582626172632,-0.06486667373152527,0.20871611778025534,0.2735827915117806,True,False,False,False,True,False,
0.0,3,sig_rs_intact+sig_macro_vix_up,0.0,0.02721990977191338,0.02721990977191338,-0.5394308232394228,0.49971779655895543,1.0391486197983784,True,False,False,False,True,False,EVIDENCE
0.0,3,sig_conso+sig_lead_in_lag,0.0,0.0757937435738146,0.0757937435738146,-0.13759934074107003,0.20431214042272358,0.3419114811637936,True,False,False,False,True,False,
0.0,3,sig_conso+sig_h1_dr,0.0,0.04684760872696351,0.04684760872696351,-0.13196259683862036,0.23384568203995393,0.36580827887857426,True,False,False,False,True,False,
0.0,3,sig_conso+sig_macro_vix_up,0.0,-0.07041990852605172,-0.07041990852605172,-0.5336607947818826,0.31809982642490514,0.8517606212067876,True,False,False,False,True,False,EVIDENCE
0.0,3,sig_lead_in_lag+sig_h1_dr,0.0,0.08242173438535005,0.08242173438535005,-0.1614175901782759,0.30186966629014444,0.46328725646842034,True,False,False,False,True,False,
0.0,3,sig_lead_in_lag+sig_macro_vix_up,0.0,-0.05787102139918312,-0.05787102139918312,-0.5589545681862466,0.46903593883068945,1.027990507016936,True,False,False,False,True,False,EVIDENCE
0.0,3,sig_h1_dr+sig_macro_vix_up,0.0,-0.17952579328375257,-0.17952579328375257,-0.6895323684673299,0.3353595809641944,1.0248919494315243,True,False,False,False,True,False,EVIDENCE
0.0,3,sig_conso+sig_lead_in_lag+sig_h1_dr,0.0,0.17032479456400354,0.17032479456400354,-0.09677677167450488,0.41662054894719863,0.5133973206217035,True,False,False,False,True,False,
0.0,3,rsi<35,0.0,0.0038508480501722522,0.0038508480501722522,-0.20406211933549565,0.21018746330395546,0.4142495826394511,True,False,False,False,True,False,
0.0,3,rsi35-50,0.0,-0.06573286258574734,-0.06573286258574734,-0.202942159877613,0.06162595738385002,0.264568117261463,True,False,False,False,True,False,
0.0,3,rsi50-65,0.0,0.015684838086185114,0.015684838086185114,-0.09636869850621456,0.1349236870754837,0.23129238558169823,True,False,False,False,True,False,
