ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AXTA,🏦majority,1.415,10.45,1.507,2.942,-3.271,-2.254,3.23,,,
AYI,🏦majority,2.279,12.288,9.583,1.871,2.638,-1.853,,-2.422,,
AZN,🏦majority,1.499,13.539,11.666,2.708,2.427,-1.191,,,,
AZO,🏦majority,2.614,7.942,11.06,-1.182,-1.173,-4.358,,,,
AZTA,🏦majority,-3.522,19.084,0.008,2.061,7.672,1.907,4.929,,,
AZZ,🏦majority,4.073,11.305,3.99,0.822,-1.397,0.516,,,,
B,🏦majority,1.044,19.524,8.447,3.838,4.673,2.743,,,,
BA,🏦majority,-1.392,15.16,17.299,2.8,1.379,-0.066,,,,-17.607
BAC,🏦majority,3.622,10.543,21.468,-0.075,-0.438,-0.016,,,,
BAH,🏦majority,-1.008,10.747,2.815,-3.52,6.798,-1.735,-6.13,,,
BALL,🏦majority,0.265,11.254,-0.509,2.996,0.08,2.172,,,,
BALY,⚡panic,-4.653,19.792,25.517,-3.258,-3.861,1.063,,,,
BAM,🏦majority,0.713,12.188,13.139,-0.65,-6.813,-0.776,,,,
BANC,🏦majority,1.47,11.027,5.117,0.897,1.906,0.937,,,,
BAND,🏦majority,-7.317,27.531,-7.81,1.724,7.942,1.58,6.067,,,
BANF,🏦majority,2.297,10.39,21.994,0.486,-5.453,-2.683,,,,
BANR,🏦majority,1.429,10.256,-2.597,0.998,-1.757,-0.045,-6.898,,,
BAP,🏦majority,3.529,12.001,19.799,1.509,3.783,-2.295,,,,-5.735
BATRK,🏦majority,2.17,7.785,8.467,1.284,-0.111,-0.793,,,,
BAX,⚡panic,-4.439,12.068,8.074,-2.777,2.416,-1.098,8.412,,,
BBDC,🏦majority,-0.452,7.629,4.77,0.084,-4.966,-2.822,,,,
BBIO,🏦majority,3.375,25.939,-15.367,-2.555,9.144,-1.337,,,,6.647
BBSI,🏦majority,6.15,12.382,2.388,0.604,0.174,2.027,,,,
BBW,🏦majority,-0.449,20.116,-5.096,13.561,18.177,-4.524,,,,
BBWI,⚡panic,-2.44,18.146,2.998,1.213,-2.592,-1.62,7.419,,,
BBY,🏦majority,-1.657,12.867,12.71,1.377,0.975,-2.07,,,,
BC,🏦majority,-0.742,12.98,1.037,4.729,1.36,0.453,,,,
BCC,🏦majority,1.365,14.05,-3.316,6.755,-0.534,-0.242,-6.535,,,
BCE,🏦majority,-1.899,7.984,2.789,-0.662,-2.072,-0.46,5.444,,,
BCO,🏦majority,0.965,10.595,14.828,-1.753,0.134,-2.473,,,,0.267
BCPC,🏦majority,1.539,8.415,6.835,1.48,-4.495,-3.381,,,,
BCRX,🏦majority,-2.166,18.62,4.186,-2.887,7.968,-6.375,,,,
BDC,🏦majority,3.351,12.35,10.811,2.257,1.952,-2.253,,,,
