ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AVXL,🎲chase,-1.251,11.506,-0.282,-0.188,0.127,-0.551,-0.681,0.149,-1.992,-9.335
AVY,🏦majority,0.014,3.263,0.097,0.09,0.009,0.002,0.135,-0.067,-0.027,-1.286
AWK,🏦majority,0.061,3.233,0.016,0.104,-0.055,-0.079,0.036,-0.266,0.192,-0.007
AXGN,⚡panic,1.793,13.399,0.793,0.712,0.201,-0.573,1.647,-0.28,-1.223,-8.445
AXON,🏦majority,0.506,7.442,-0.659,0.042,-0.117,0.056,-0.142,0.483,0.194,-2.291
AXP,🏦majority,0.398,4.145,-0.099,0.037,-0.052,0.017,0.155,0.135,0.166,-3.093
AXSM,🎲chase,0.748,10.056,-0.543,0.314,-0.108,-0.252,0.291,0.363,0.332,-7.134
AZO,🏦majority,0.327,3.549,0.176,-0.046,-0.147,0.02,-0.025,-0.553,-0.171,-0.972
AZTA,🏦majority,-0.33,7.394,0.272,0.065,-0.043,0.053,0.231,0.229,-0.256,-1.418
BA,🏦majority,0.15,5.276,-0.447,-0.15,0.109,-0.11,-0.252,0.295,-0.078,-0.673
BABA,🎲chase,-0.652,7.154,-0.16,-0.003,0.042,0.082,-0.173,-0.219,0.416,-3.75
BAC,🏦majority,0.446,4.033,-0.388,-0.066,0.059,-0.031,-0.233,-0.168,0.475,0.251
BALL,🏦majority,0.327,4.262,-0.091,-0.01,0.079,-0.04,0.002,0.13,0.539,0.197
BAND,🎰lottery,-1.516,15.491,-1.088,-0.427,0.545,0.238,-0.933,1.217,-1.786,-7.678
BANF,⚡panic,0.298,5.779,0.405,0.121,-0.165,-0.155,0.596,-1.369,0.016,-2.378
BANR,🏦majority,0.196,5.285,0.492,-0.022,-0.444,0.011,-0.26,-0.235,0.098,-0.874
BATRK,🏦majority,0.175,4.365,0.409,0.076,0.073,-0.025,0.367,-0.799,0.218,-0.508
BAX,🏦majority,-0.054,4.805,-0.123,0.054,0.14,-0.043,0.054,0.108,0.482,-2.437
BBIO,🏦majority,0.166,10.89,0.402,-0.038,-0.07,0.134,0.308,0.155,-0.906,-2.855
BBSI,🏦majority,1.259,7.112,-0.029,0.04,-0.484,0.401,0.174,1.358,-0.178,-10.699
BBY,🏦majority,-0.17,5.218,0.463,-0.132,-0.162,-0.037,0.334,-0.048,-0.275,-2.085
BCPC,🏦majority,0.065,4.108,-0.061,0.003,-0.183,0.088,0.181,-0.02,0.371,-0.038
BCRX,⚡panic,-0.134,7.787,0.732,0.482,-0.28,-0.115,0.923,-0.342,-0.159,0.359
BDX,🏦majority,0.055,3.298,0.113,0.113,-0.026,-0.037,0.106,0.097,0.283,-0.382
BEAM,⚡panic,-0.873,9.9,0.378,0.469,-0.467,-0.191,0.738,-0.7,-0.761,-5.783
BELFB,⚡panic,3.217,11.024,1.033,0.297,0.248,-0.432,0.868,-2.023,-0.201,-2.872
BGC,🏦majority,0.266,4.994,-0.04,-0.054,0.254,0.305,-0.266,-0.123,-0.839,-1.487
BHF,🏦majority,0.126,5.618,0.081,0.129,-0.126,-0.126,0.001,-0.039,-0.273,-1.678
BIDU,🎲chase,-0.485,7.014,-0.033,0.08,0.284,0.192,0.099,0.105,1.789,-2.4
BIIB,🏦majority,-0.141,4.468,-0.027,0.106,0.048,-0.191,0.137,-0.237,0.406,-2.177
BILI,⚡panic,-0.718,10.701,0.741,0.21,-0.119,-0.308,0.509,0.07,0.902,-8.423
BILL,🏦majority,0.0,9.638,-0.02,0.201,-0.19,-0.127,-0.121,-0.148,0.498,-3.939
BIO,🏦majority,-0.057,5.227,0.396,0.029,0.016,-0.108,0.134,0.257,-0.298,-3.996
BJRI,🎲chase,0.096,7.041,-0.24,0.267,0.191,-0.26,0.293,-0.974,0.06,-1.05
BKNG,🏦majority,0.55,4.617,0.046,0.096,-0.141,-0.051,0.07,-0.339,-0.259,-2.51
BKR,🏦majority,0.582,5.081,0.383,0.132,0.053,-0.011,0.333,-0.142,-0.279,-1.574
BL,⚡panic,-0.276,6.193,0.577,-0.019,-0.149,0.186,0.458,0.085,-0.035,-8.723
BLBD,⚡panic,0.735,10.646,0.971,0.105,-0.146,-0.344,0.414,-0.066,0.093,-3.018
BLDP,⚡panic,-1.507,8.796,1.052,0.38,-0.437,-0.14,0.927,-0.562,-4.719,1.344
BLDR,🏦majority,0.343,6.335,-0.38,-0.263,0.165,0.163,-0.112,-0.036,-0.744,-0.262
BLFS,⚡panic,-0.206,10.822,0.817,0.554,-0.069,-0.246,1.269,-0.125,-0.877,-2.326
BLK,🏦majority,0.254,3.857,-0.359,0.028,0.125,-0.15,-0.093,0.008,-0.007,-0.216
BLKB,🏦majority,-0.272,5.886,0.185,0.161,0.067,-0.043,0.17,0.187,-0.21,-1.27
BLMN,⚡panic,-0.578,7.493,0.727,0.093,-0.216,-0.123,0.578,-0.108,-0.208,-2.595
BMBL,⚡panic,-1.026,8.985,0.789,0.225,-0.047,-0.26,1.089,-0.238,-1.749,-1.013
BMRN,🏦majority,-0.087,4.325,0.387,0.051,0.168,-0.079,0.215,0.065,0.389,-3.137
BMY,🏦majority,0.048,3.381,0.05,0.004,0.067,-0.171,0.054,-0.048,-0.133,-2.348
BOKF,🏦majority,0.284,4.349,-0.127,0.011,-0.211,0.036,-0.287,-0.36,0.035,-3.804
BPOP,🏦majority,0.481,4.124,0.166,0.167,0.039,-0.128,-0.07,-0.132,0.028,-1.77
BR,🏦majority,0.105,3.275,-0.026,-0.075,0.058,-0.015,-0.232,0.031,-0.069,-1.471
BRKR,🏦majority,0.196,5.884,-0.281,0.167,0.106,-0.059,0.109,0.033,-0.117,-2.404
BRO,🏦majority,0.479,3.454,-0.044,0.074,-0.016,-0.156,0.051,-0.251,0.154,-1.052
BRZE,🏦majority,0.0,9.149,0.024,-0.198,-0.405,0.065,-0.543,0.581,-0.333,-1.911
BSX,🏦majority,0.283,3.585,0.048,0.147,-0.05,-0.019,0.05,0.095,0.22,-1.628
BSY,🏦majority,-0.062,5.053,-0.124,0.062,-0.103,0.001,-0.14,-0.135,-0.291,-2.115
BTDR,⚡panic,0.102,17.229,0.87,-0.499,-0.102,-0.411,-0.163,-0.057,0.485,2.159
BTSG,🏦majority,1.523,6.588,-0.005,-0.484,0.036,0.046,-0.398,0.202,-0.142,1.679
BUSE,🏦majority,0.244,6.255,0.436,0.07,-0.413,-0.145,0.258,-0.668,-0.674,-2.648
BWA,🏦majority,0.194,4.716,0.274,0.129,0.066,0.012,0.338,0.145,0.321,-2.203
BWIN,🏦majority,-0.193,8.459,0.445,-0.12,-0.168,0.487,-0.263,0.778,-1.405,0.172
BXP,🏦majority,-0.14,4.513,0.823,0.079,-0.178,0.054,0.352,0.226,-0.322,-2.053
BYND,⚡panic,-2.547,10.895,0.779,0.188,-0.399,-0.657,0.527,-1.199,-0.276,-0.539
BYRN,🎰lottery,-1.429,15.327,-0.908,-0.512,0.046,0.873,-2.609,0.296,-1.096,-14.909
C,🏦majority,0.342,4.224,-0.41,-0.073,-0.049,0.111,-0.313,-0.145,0.319,-2.773
CACC,⚡panic,0.123,6.178,0.746,0.18,-0.121,-0.209,0.53,-0.004,-0.109,-3.233
CAE,🎲chase,0.134,5.849,-0.21,0.2,0.317,-0.058,-0.18,-0.175,1.095,-0.879
CAG,🏦majority,-0.251,3.166,0.35,-0.025,-0.16,-0.151,0.133,-0.356,-0.414,-1.188
CAH,🏦majority,0.422,3.669,0.26,-0.067,0.017,-0.074,-0.024,-0.145,-0.532,0.332
CAKE,🏦majority,0.203,5.505,0.563,0.114,-0.14,-0.179,0.326,-0.379,0.754,-2.5
CALM,🏦majority,0.489,4.597,0.049,0.136,0.025,-0.076,0.354,0.083,0.499,-1.539
CAMT,🏦majority,1.029,8.782,0.455,0.133,0.196,0.464,-0.28,0.744,0.011,-5.136
CAPR,⚡panic,-1.681,17.908,1.301,-0.152,-0.697,-0.509,1.208,-0.121,-3.003,-0.264
CAR,🎲chase,-0.045,12.116,-0.439,-0.095,-0.027,0.377,-0.053,0.165,-0.988,-1.271
CARG,🏦majority,0.281,7.026,0.449,0.102,-0.201,-0.061,0.598,-0.073,-0.035,-3.654
CARR,🏦majority,0.118,4.487,-0.213,0.104,0.086,-0.072,0.182,-0.137,-0.117,-1.281
CART,🏦majority,0.513,5.828,-0.131,0.306,-0.113,-0.04,0.322,0.125,0.506,-0.488
CASH,🏦majority,0.462,5.702,0.005,-0.168,-0.182,-0.257,-0.518,0.405,-0.252,0.951
CASY,🏦majority,0.374,3.685,0.299,0.135,-0.09,0.022,0.417,0.046,-0.249,-0.348
CAT,🏦majority,0.505,4.519,0.265,-0.16,0.133,-0.085,-0.042,-0.3,0.008,-2.15
CATY,🏦majority,0.267,4.568,0.295,0.05,0.092,-0.267,0.211,-0.394,0.163,-2.694
CB,🏦majority,0.333,2.682,0.418,-0.095,0.001,-0.11,0.237,0.018,0.127,-1.827
CBOE,🏦majority,0.496,3.315,0.538,0.162,-0.049,-0.014,0.313,0.004,-0.013,-1.308
CBRE,🏦majority,0.531,4.272,-0.143,0.144,-0.025,0.036,-0.053,-0.026,0.29,-2.223
CBRL,🎲chase,-0.507,6.936,-0.094,-0.109,0.349,0.412,-0.305,-0.306,0.095,-1.832
CBSH,🏦majority,0.184,3.27,-0.064,0.068,-0.14,-0.011,-0.027,-0.184,0.133,-0.198
CCEP,🏦majority,0.38,3.171,0.122,0.071,-0.02,-0.073,-0.014,-0.106,-0.239,-1.046
CCI,🏦majority,-0.355,3.851,-0.26,0.041,0.067,0.074,-0.262,0.211,-0.489,-0.684
CCL,🎲chase,-0.063,7.816,-0.135,-0.015,0.001,-0.203,-0.079,0.063,-0.003,-6.796
CCOI,🏦majority,-0.189,7.29,0.189,-0.074,-0.039,0.02,0.116,-0.082,0.253,-2.837
CCRN,🎲chase,-0.092,10.176,0.048,-0.287,0.31,-0.018,-0.818,-0.767,-0.073,-3.112
CDNA,⚡panic,-0.144,11.547,0.445,0.315,-0.088,-0.445,0.296,-0.748,-1.138,-2.723
CDNS,🏦majority,0.244,4.847,0.298,-0.143,-0.075,0.161,-0.16,0.397,-0.585,-0.642
CDW,🎲chase,0.198,4.606,-0.457,0.125,0.164,-0.044,-0.291,0.134,0.453,-5.54
CE,🎲chase,0.082,6.329,-0.338,0.281,0.263,-0.024,-0.011,-0.349,-0.17,-2.935
CECO,🏦majority,1.759,9.333,1.078,0.259,0.259,-0.279,0.679,0.742,-0.429,1.429
CEG,🏦majority,0.725,6.862,0.637,-0.122,-0.207,-0.052,0.173,0.101,-0.42,-0.512
CELH,🏦majority,0.425,9.492,0.227,-0.251,-0.446,0.1,0.095,0.616,-0.245,-4.479
CENTA,🏦majority,0.0,5.654,0.474,0.081,0.0,0.067,0.408,-0.156,-0.702,0.089
CENX,🏦majority,0.634,10.22,0.307,0.341,-0.055,-0.035,0.638,0.569,1.108,-3.245
CERT,🎲chase,-0.431,8.842,-0.281,-0.115,0.321,0.167,-0.059,-0.015,0.769,-8.429
CEVA,⚡panic,0.262,11.771,0.529,-0.218,0.244,-0.54,0.813,2.389,-0.169,-8.624
CF,🏦majority,0.356,5.012,0.215,0.14,-0.09,-0.261,-0.156,-0.237,0.466,-1.835
CFFN,🏦majority,-0.173,6.76,-0.128,-0.137,-0.065,0.043,-0.086,-1.38,-0.111,-0.773
CFG,🏦majority,0.389,4.735,-0.13,-0.038,0.289,-0.083,-0.143,-0.255,0.503,-1.583
CFLT,🎲chase,0.163,10.435,0.133,0.163,0.1,-0.296,-0.194,-0.896,0.866,-4.639
CG,🏦majority,0.424,5.589,-0.14,0.199,0.109,0.09,-0.066,-0.089,-0.194,-1.5
CGBD,🏦majority,-0.093,4.672,0.31,0.161,0.093,-0.124,-0.035,-0.163,-0.003,0.43
CGC,🎰lottery,-3.762,14.707,-0.411,0.087,0.794,0.194,0.05,-0.723,-1.146,-10.875
CGEM,⚡panic,-1.195,15.389,1.493,0.153,-0.735,-0.148,1.064,0.88,-0.17,-4.02
CGNX,🏦majority,0.078,6.076,0.169,0.193,-0.28,-0.052,0.22,-0.298,-0.27,-2.614
CGON,🏦majority,1.044,9.19,0.321,0.079,0.072,-0.278,0.439,-0.244,-1.632,-0.117
CHCO,🏦majority,0.662,5.23,1.073,0.104,-0.342,-0.404,0.345,0.579,-0.209,-1.012
CHD,🏦majority,0.107,2.732,0.12,-0.025,-0.191,-0.049,0.144,-0.059,-0.49,-0.411
CHDN,🏦majority,-0.016,4.477,0.336,-0.025,-0.009,-0.002,0.143,0.101,0.095,0.225
CHEF,🏦majority,0.949,6.893,0.354,0.038,0.02,-0.155,-0.158,-0.411,-0.507,-0.54
CHKP,🏦majority,0.343,3.793,0.067,0.272,-0.04,-0.097,0.251,-0.03,-0.37,-2.934
CHRD,🏦majority,0.333,4.917,-0.223,0.131,0.146,-0.216,0.15,0.188,0.194,-1.939
CHRW,🏦majority,0.178,4.612,0.512,0.058,-0.094,-0.021,0.264,-0.27,-0.173,-2.514
CHTR,🏦majority,-0.292,5.929,-0.561,-0.015,-0.243,0.107,-0.49,0.247,0.595,-1.84
CI,🏦majority,0.275,3.841,0.458,0.114,-0.066,-0.118,0.193,-0.138,0.399,-0.342
CIFR,⚡panic,0.93,16.357,3.821,-0.384,-0.487,-1.101,2.851,-0.463,0.044,-4.143
CIGI,🎲chase,0.272,5.675,-1.067,0.036,0.075,0.088,-0.643,-0.49,-0.195,-1.818
CINF,🏦majority,0.281,3.407,0.402,0.144,0.091,-0.065,0.135,-0.014,-0.026,-1.123
CL,🏦majority,0.114,2.525,0.012,0.02,-0.089,-0.021,0.078,0.055,-0.114,-0.499
CLBT,🏦majority,0.252,8.535,-0.027,-0.113,-0.183,0.135,-0.276,-1.238,0.265,2.321
