ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
BLDR,🎰lottery,1.294,8.952,-0.252,-0.441,-0.177,-0.67,-2.681,-1.829,-1.418,-9.657
BLFS,🏦majority,0.062,12.642,3.085,0.342,-1.919,-2.591,0.762,3.245,0.4,-10.628
BLK,🏦majority,0.197,5.5,-0.499,0.017,0.974,0.295,-1.948,-0.689,0.861,-5.11
BLKB,🏦majority,-0.544,7.221,-0.585,0.307,0.107,-0.593,0.047,-1.696,-1.387,-6.648
BLMN,🏦majority,-0.71,9.515,2.04,0.257,-1.644,-0.843,1.275,-1.703,-2.298,-3.978
BMBL,🏦majority,-2.144,11.979,1.916,0.048,-1.451,-1.067,2.109,-2.675,0.156,-15.995
BMRN,🏦majority,-0.301,6.034,1.192,0.204,-0.383,-0.616,0.128,-0.798,0.596,-4.913
BMY,🏦majority,-0.086,4.729,-0.335,0.048,0.119,0.086,-0.816,1.449,0.888,-4.367
BOKF,🏦majority,0.408,5.638,0.343,0.262,-0.81,0.121,0.601,1.593,-0.659,-3.678
BPOP,🏦majority,1.203,5.858,1.497,0.931,-0.234,-0.751,0.69,0.248,0.814,-3.794
BR,🏦majority,0.186,4.601,-0.415,0.043,-0.252,0.164,-0.278,0.561,-0.358,-4.639
BRKR,🏦majority,-0.014,7.918,-0.825,-0.089,0.335,-0.825,0.223,-1.471,0.276,-5.303
BRO,🏦majority,0.879,4.964,-0.235,0.05,-0.216,0.222,-0.462,0.562,0.525,-3.397
BRZE,🎰lottery,-0.012,12.511,-1.41,2.043,0.464,-0.018,0.419,0.072,-4.271,-3.752
BSX,🏦majority,0.651,4.78,0.77,0.151,-0.088,-0.58,0.424,1.432,0.34,-4.149
BSY,🏦majority,-0.103,6.93,1.854,0.203,-1.011,0.025,1.712,-1.027,1.541,-3.56
BTDR,🏦majority,0.874,22.353,1.551,-3.895,-1.523,-4.578,0.147,11.958,5.249,
BTSG,🏦majority,2.932,9.541,-4.496,1.763,0.826,0.11,-0.254,2.754,2.947,0.066
BUSE,🏦majority,0.788,7.07,1.088,-0.392,1.894,0.237,-0.573,1.573,-0.944,
BWA,🏦majority,0.422,6.636,1.413,0.24,-0.733,-0.218,0.331,-0.841,0.357,-5.351
BXP,🏦majority,-0.342,6.105,0.718,-0.421,-1.261,0.063,1.197,-1.645,0.17,-8.79
BYND,🏦majority,-4.245,14.558,0.211,0.324,-1.977,-2.31,2.247,-3.109,-3.188,-14.457
C,🏦majority,0.692,6.073,0.023,0.173,0.853,-0.151,-0.063,1.616,2.152,-4.319
CACC,🏦majority,0.453,7.555,0.904,0.776,-1.139,-1.628,1.097,-0.011,-0.295,-13.139
CAE,⚡panic,0.076,7.15,1.226,0.692,0.128,-0.467,1.724,-0.547,-2.45,-8.873
CAG,🏦majority,-0.478,4.327,0.13,-0.261,0.585,-0.404,-0.368,0.526,-0.411,-4.438
CAH,🏦majority,0.897,5.306,0.151,0.261,0.317,0.024,1.035,0.074,-0.332,-4.112
CAKE,🏦majority,0.85,7.442,-0.085,0.412,-0.106,-1.334,-1.576,-0.845,2.621,-7.406
CALM,🏦majority,0.818,6.121,-0.832,1.199,0.265,-0.608,0.054,-1.109,-1.053,-1.05
CAMT,⚡panic,1.874,11.547,3.628,-0.974,0.17,0.004,1.135,3.578,0.989,-9.929
CAR,🏦majority,-0.474,16.538,1.779,-1.813,-1.556,2.318,-0.446,-1.735,-3.902,-11.458
CARG,🏦majority,0.826,9.202,-0.308,0.543,-0.314,-0.491,0.76,-1.785,1.293,-6.826
CARR,🏦majority,0.185,6.38,1.134,0.568,-0.816,-0.306,0.655,0.288,-0.379,-5.474
CART,🏦majority,1.521,8.008,-0.772,0.17,-0.399,-2.058,1.173,-0.729,-1.003,
CASH,🏦majority,0.61,6.979,0.847,-0.263,0.157,0.279,0.175,0.089,0.101,
CASY,🏦majority,1.114,4.984,1.338,0.204,-0.467,0.212,1.208,-0.13,-0.238,-5.271
CAT,🏦majority,1.208,6.502,-1.345,-0.26,0.545,0.14,-1.348,-0.369,1.44,-6.796
CATY,🏦majority,0.659,5.76,0.023,0.165,0.63,-0.986,0.055,1.282,0.442,-2.987
CB,🏦majority,0.634,3.602,1.273,0.323,-0.234,-0.06,1.497,1.234,-0.19,-4.077
CBOE,🏦majority,0.709,4.657,0.557,0.489,0.074,-0.128,1.076,0.84,-1.334,-6.593
CBRE,🏦majority,0.928,5.95,-0.197,0.451,-0.238,-0.48,-0.235,-0.317,0.343,-2.903
CBRL,🎰lottery,-0.878,9.566,-1.384,0.47,1.795,-0.143,-0.685,-2.289,-1.444,-6.94
CBSH,🏦majority,0.201,4.646,1.11,0.035,-0.859,-0.553,0.358,-1.509,1.314,-10.392
