ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
CVS,🏦majority,0.718,6.14,-0.162,0.678,0.34,-0.342,-0.251,-0.812,-1.165,-0.535
CVX,🏦majority,0.75,5.261,0.531,0.32,-0.299,-0.713,-0.326,0.982,0.711,-7.503
CZR,🏦majority,-0.375,9.39,0.887,-0.823,-1.622,0.115,0.453,-2.059,1.12,-4.057
D,🏦majority,0.267,4.348,0.489,0.249,0.234,-0.483,1.253,-0.6,-1.444,-3.216
DAL,🏦majority,1.085,8.08,-0.303,-1.019,0.741,0.074,-0.721,0.323,-0.583,-4.308
DASH,🏦majority,1.098,10.056,-1.438,-1.516,-1.151,0.228,-0.579,0.673,1.986,-12.788
DD,🏦majority,0.497,5.95,-0.329,0.784,0.122,-0.365,-0.731,0.001,0.853,-5.43
DDOG,🏦majority,0.778,11.418,1.338,-0.705,-0.308,-0.144,-0.821,-1.96,-0.336,-11.408
DE,⚡panic,-0.006,5.54,2.576,0.093,-0.918,-0.21,1.597,-0.9,0.583,-3.755
DECK,🏦majority,0.958,8.27,-2.11,0.119,0.638,0.035,-0.589,1.218,0.075,-2.403
DELL,🏦majority,1.891,10.387,-0.092,0.792,0.519,-0.604,0.132,-0.917,-1.174,-1.56
DFS,⚡panic,0.838,7.204,1.959,0.864,-0.646,-0.497,1.479,-0.474,-1.094,-5.761
DG,🏦majority,0.079,7.294,0.437,-0.558,0.182,-0.153,-0.108,-0.404,0.856,-3.953
DGX,🏦majority,0.437,4.243,-0.461,0.013,0.648,-0.3,-1.114,0.208,1.599,-3.469
DHI,🏦majority,0.378,6.724,0.116,-0.769,-1.722,-1.206,0.791,-0.462,1.684,-4.221
DHR,🏦majority,-0.116,5.289,-0.115,0.626,-0.141,-0.288,1.907,0.434,1.711,-3.026
DIS,🏦majority,-0.774,6.148,1.143,-0.263,-0.808,0.403,0.968,0.6,-0.537,-2.583
DKNG,🏦majority,-0.302,11.645,1.935,-1.046,1.579,0.2,-0.375,-1.149,-2.632,-9.139
DLR,🏦majority,0.554,5.479,-0.346,-0.214,-0.256,0.271,-0.475,-0.227,-0.326,-4.376
DLTR,🏦majority,0.841,8.003,-0.903,-1.362,0.904,-0.27,-1.429,-0.121,0.06,-3.461
DOC,🏦majority,-0.205,6.59,0.131,0.32,0.136,-0.068,0.742,-0.434,0.444,-2.733
DOCN,🎰lottery,0.611,14.049,-1.69,0.601,0.096,-1.162,-0.902,3.593,-0.751,-6.65
DOV,🏦majority,0.366,4.753,0.043,-0.447,0.904,-0.627,-0.951,-1.072,-0.062,-2.358
DOW,🏦majority,-0.392,6.673,-0.285,0.578,0.45,-0.039,-0.232,0.041,-0.337,-3.503
DPZ,🏦majority,-0.05,5.711,0.443,-0.251,0.856,0.114,0.869,0.052,0.492,-5.358
DRI,🏦majority,0.446,4.627,-0.011,0.761,-0.043,-0.485,0.109,-0.632,-0.265,-3.764
DTE,🏦majority,0.469,3.693,-0.01,0.359,-0.113,-0.372,-0.185,0.137,-0.362,-2.531
DUK,🏦majority,0.409,3.486,0.392,-0.164,-0.509,-0.058,-0.058,-0.08,-0.561,-3.398
DUOL,🎰lottery,-0.132,13.202,-1.136,-0.523,0.586,-0.699,-2.036,2.22,-3.981,-11.738
DVA,🏦majority,0.505,7.611,0.79,0.377,-0.092,0.012,1.118,-0.981,0.334,-0.412
DVN,⚡panic,0.201,8.059,1.327,-0.084,-0.342,-0.624,1.633,1.317,1.69,-4.482
DXCM,🏦majority,0.476,9.003,-0.521,0.095,0.569,-1.319,-1.277,0.206,1.081,-3.578
EA,🏦majority,0.374,4.833,-0.162,0.308,0.143,0.108,0.126,-0.33,0.171,-2.414
EBAY,🏦majority,0.674,5.94,0.254,-0.09,-0.02,-0.559,-0.738,-0.168,0.951,-2.189
ECL,🏦majority,0.714,4.49,-0.046,0.5,-0.004,-0.058,0.193,-0.986,-0.483,-4.379
ED,🏦majority,0.649,3.759,-0.156,-0.037,0.214,-0.21,0.741,-0.461,-0.735,-1.752
EFX,🏦majority,-0.032,6.509,0.474,0.122,-0.554,-0.508,-0.403,-1.312,-0.259,-3.732
EG,🏦majority,0.322,4.218,2.515,0.404,0.122,-0.233,1.186,-1.658,0.47,
EIX,🏦majority,0.732,5.234,-0.569,0.331,-0.176,-0.619,-1.98,0.586,-0.446,-1.141
EL,🏦majority,-0.459,8.27,-1.286,-1.016,0.219,-1.011,-0.249,0.28,0.413,-10.086
ELV,🏦majority,0.015,5.531,0.435,0.241,0.225,-0.127,-0.006,0.775,0.724,-5.245
EME,🏦majority,1.354,6.389,1.16,-0.564,-0.884,0.534,0.679,-0.262,0.631,-8.363
EMN,🏦majority,-0.334,5.874,0.261,0.188,-0.471,-0.981,-0.374,-0.623,1.201,-5.444
EMR,🏦majority,0.343,5.36,0.893,-0.186,-0.389,-0.559,0.363,-1.13,-0.053,-4.512
ENPH,🎰lottery,-1.174,14.158,0.118,0.882,-1.707,-1.739,1.533,0.486,-5.154,-10.177
EOG,🏦majority,0.538,6.399,0.842,0.015,-0.743,-0.053,-0.768,1.894,1.462,-6.171
EPAM,🏦majority,-0.31,11.217,-0.905,-0.574,-0.184,0.303,1.201,-2.223,2.289,-5.122
EQIX,🏦majority,0.403,5.21,-1.406,0.558,0.15,-0.278,1.129,1.354,1.225,-4.738
EQR,🏦majority,0.346,4.113,1.723,-0.077,-0.005,-0.559,1.26,0.019,0.39,-2.051
EQT,🏦majority,0.344,8.438,0.692,0.384,0.045,0.353,-0.032,-0.196,-0.461,-4.469
ERIE,🏦majority,0.175,6.444,0.283,-0.422,-0.389,0.111,-0.974,-0.42,-0.379,-4.385
ES,🏦majority,0.331,4.655,0.894,-0.012,-0.741,-0.221,0.024,0.251,0.244,-3.621
ESS,🏦majority,0.299,4.352,0.578,0.262,-0.099,-0.341,0.434,-0.058,1.372,-2.394
ESTC,⚡panic,-0.022,11.355,2.657,-0.176,0.022,-0.232,1.73,1.925,-3.417,-1.774
