ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
DPZ,🏦majority,-0.972,11.025,5.142,0.031,-2.676,-3.527,0.812,,,
DRI,🏦majority,1.438,8.01,16.259,1.597,-0.762,-0.471,,,,
DTE,🏦majority,0.591,6.64,0.657,2.207,0.678,-2.268,,,,
DUK,🏦majority,0.98,6.553,10.752,2.679,1.501,-1.292,,,,
DUOL,🎰lottery,0.206,25.435,-1.502,-0.796,1.596,9.591,-4.75,,,
DVA,🏦majority,0.982,14.639,6.313,-4.307,-2.853,0.255,,,,
DVN,🏦majority,0.221,14.765,4.087,-3.141,-4.517,2.363,,,,
DXCM,🏦majority,1.662,18.273,10.634,5.668,-4.13,0.512,,,,
EA,🏦majority,1.384,8.261,1.563,0.51,0.684,-1.733,,,,
EBAY,🏦majority,2.173,10.975,15.237,-0.544,-1.302,-2.827,,,,
ECL,🏦majority,1.751,8.358,-3.673,3.101,1.127,0.056,,,,-1.956
ED,🏦majority,0.957,7.077,3.213,2.649,-0.564,-0.432,,,,
EFX,🏦majority,-1.429,12.461,6.525,-1.25,3.625,3.306,4.329,,,
EG,🏦majority,-0.399,5.478,,0.634,-0.734,,,,,
EIX,🏦majority,2.149,10.449,-0.505,3.496,-0.105,-3.1,,,,
EL,🎰lottery,-3.619,15.519,0.393,-2.945,-1.553,4.962,-1.834,,,
ELV,🏦majority,-0.273,11.069,3.821,1.408,-3.219,-2.081,,,,
EME,🏦majority,4.241,14.12,-3.899,5.087,-3.297,1.812,,,,-6.486
EMN,🏦majority,-0.872,10.488,7.54,0.129,-0.763,-1.24,,,,
EMR,🏦majority,0.561,10.008,26.004,4.921,7.263,-2.802,,-1.347,,
ENPH,⚡panic,-6.884,25.079,2.962,2.028,-4.377,-1.343,2.943,,,
EOG,🏦majority,0.511,12.353,4.566,1.909,-1.565,0.125,,,,-9.269
EPAM,🎰lottery,-3.11,20.076,7.845,-0.171,-2.245,0.79,-2.299,,,
EQIX,🏦majority,1.494,9.675,0.13,0.75,1.259,-3.056,4.704,,,
EQR,🏦majority,0.611,7.2,4.797,-1.236,-4.428,-3.046,6.051,,,
EQT,🎰lottery,2.204,15.768,15.041,1.509,6.416,6.227,,,,
ERIE,🎰lottery,-2.481,13.489,-1.94,-0.495,2.648,7.542,,,,
ES,🏦majority,-0.164,8.616,8.814,2.442,0.035,-0.091,,,,-13.742
ESS,🏦majority,0.699,8.401,1.451,-0.523,-4.382,1.209,,,,
ESTC,⚡panic,0.841,19.607,3.467,-0.098,-6.36,-7.969,,,,
ETN,🏦majority,3.545,10.712,22.123,4.557,3.89,2.334,,,,-3.36
ETR,🏦majority,2.905,7.384,3.894,-0.506,-5.57,-4.93,,,,
EVRG,🏦majority,1.858,6.655,2.657,-0.019,-1.967,-2.719,,,,
EW,🏦majority,1.301,10.671,4.617,2.052,0.44,-2.161,-1.866,,,
EXC,🏦majority,0.109,8.45,12.039,2.335,-2.232,-0.086,,,,
EXPD,🏦majority,1.062,9.052,4.402,1.867,-3.031,-1.145,,,,
EXPE,🏦majority,2.438,16.885,4.834,6.956,-0.693,1.377,,,,-10.16
EXR,🏦majority,-1.094,11.011,18.532,-0.431,-3.983,2.446,,,,-3.315
F,⚡panic,-0.131,15.035,24.127,0.618,-7.297,3.264,,,,
FANG,🏦majority,2.145,13.128,1.208,0.725,-1.641,0.037,,,,
FAST,🏦majority,2.838,8.731,13.35,2.492,-1.149,-0.799,,,,
FCX,🏦majority,0.884,15.52,14.997,5.569,1.388,0.008,,,,
FDS,🏦majority,0.079,10.647,0.867,1.749,-3.828,-0.893,,,,
FDX,🏦majority,1.302,12.563,7.759,3.531,-0.985,-1.473,,,,
FE,🏦majority,0.981,6.846,9.142,2.221,-1.711,-3.433,,,,
FFIV,🏦majority,4.174,11.434,1.276,-3.081,3.623,-0.394,,-1.889,,
FICO,🎰lottery,6.196,16.281,-6.709,0.46,-3.936,0.484,-12.304,,,
FIS,⚡panic,-2.827,11.183,-0.435,-1.521,-8.162,-7.573,4.622,,,
FITB,🏦majority,3.276,12.289,1.901,-0.865,2.192,-5.356,,,,
FIX,🏦majority,10.503,17.313,,10.701,-1.086,2.371,,,,
FLEX,🏦majority,3.878,16.605,54.668,15.285,6.446,3.433,,,,
FMC,🎰lottery,-4.214,16.097,4.106,-2.166,-5.133,2.747,-10.031,,,
FNV,🏦majority,-0.191,11.278,5.486,0.075,-0.663,-2.277,,,,
FOX,🏦majority,2.693,9.803,1.501,-0.487,-2.033,-0.702,,,,
FOXA,🏦majority,2.681,9.942,3.976,-0.431,-4.309,-1.818,,,,
FRT,🏦majority,0.804,8.13,6.321,-0.084,-0.735,-1.703,,,,
FSLR,🏦majority,2.377,20.711,21.239,-1.349,-4.297,-0.277,,11.655,,
FTNT,🏦majority,3.214,16.149,12.422,-0.606,5.037,6.7,,6.673,,
FTV,🏦majority,0.937,8.607,7.133,0.78,0.525,-1.565,,,,
GD,🏦majority,2.756,6.45,2.223,-1.142,-1.756,-1.202,,,,
GDDY,🎰lottery,1.14,12.337,-11.372,0.936,-4.145,1.628,-11.857,,,
GE,🏦majority,6.622,12.869,8.568,-4.574,1.177,1.945,,,,6.77
GEHC,🏦majority,0.799,11.262,13.228,3.16,0.589,-2.354,,,,
GEN,🏦majority,1.164,13.307,-2.18,4.185,-1.275,0.763,0.155,,,
GILD,🏦majority,1.266,9.929,3.958,-0.614,0.673,-3.77,,-2.272,,
GIS,🏦majority,-0.968,8.272,0.216,-2.924,3.806,-1.494,-1.535,,,
GL,🏦majority,2.705,10.433,10.473,3.428,2.296,-2.487,,,,
GLW,🏦majority,3.857,14.905,8.252,-1.93,-4.496,3.284,,,,
GM,🏦majority,1.422,13.265,1.577,-0.915,-0.222,0.708,,,,
GNRC,🏦majority,-0.511,21.074,8.865,-3.158,9.383,-0.503,,5.411,,
GOLD,🏦majority,-0.064,18.996,-0.577,5.365,2.348,-0.211,,,,
GOOG,🏦majority,3.119,11.909,0.046,-2.195,7.319,-0.593,,,,
GOOGL,🏦majority,3.22,12.031,4.883,-1.971,7.946,-1.724,,,,
GPC,🏦majority,-0.577,9.533,3.526,0.372,-2.013,-2.034,,,,
GPN,⚡panic,-4.068,12.23,10.645,1.297,-3.428,-2.962,11.368,,,
GRMN,🏦majority,1.822,11.144,-1.034,-2.58,3.52,-0.801,,,,-7.795
GS,🏦majority,3.28,10.806,23.718,0.067,-4.26,-2.576,,,,
GTLB,🎰lottery,-3.029,23.596,13.786,1.21,4.091,15.373,4.089,,,
GWW,🏦majority,3.15,9.762,,3.635,3.403,-0.767,,,,
HAL,🏦majority,0.279,15.808,4.601,-2.16,3.894,-0.941,,-11.218,,
HAS,🏦majority,1.363,11.879,2.806,-2.157,5.521,-2.915,,,,
HBAN,🏦majority,2.603,11.082,8.016,5.12,0.829,-5.296,,,,
HCA,🏦majority,3.602,11.519,4.868,-0.74,2.867,0.194,,,,
HD,🏦majority,0.836,9.584,-2.232,1.637,-0.317,3.494,,,,
HES,🏦majority,2.227,12.248,6.838,2.646,1.292,-1.839,,,,
HIG,🏦majority,2.686,6.896,,1.998,-1.003,-1.388,,,,
HII,🏦majority,2.154,12.038,-0.935,1.38,2.916,3.422,,,,
HLT,🏦majority,3.878,8.457,12.141,6.093,-2.203,-3.358,,,,
HMC,🏦majority,0.55,9.33,8.282,0.065,-5.648,-2.515,,,,
HOLX,🏦majority,0.655,7.976,1.221,0.482,1.377,-1.666,,,,
HON,🏦majority,-0.906,8.97,10.282,3.409,1.986,-1.996,,,,
HOOD,🏦majority,2.824,28.22,8.788,18.904,4.67,-0.4,,,,
HPE,🏦majority,2.908,15.993,16.292,7.375,0.665,-2.443,,,,-12.929
HPQ,🏦majority,-0.121,12.322,7.111,0.795,-2.234,-4.576,,,,-5.548
HRL,🏦majority,-1.095,8.772,3.273,0.537,-3.642,1.81,4.98,,,
HSIC,🏦majority,0.011,8.265,15.331,2.36,-1.615,-3.028,,,,
HST,🏦majority,2.607,9.665,7.787,0.979,-7.264,-3.214,,,,
HSY,🏦majority,0.594,8.169,-2.029,-1.469,0.714,-1.071,-3.277,,,
HUBB,🏦majority,2.475,10.427,14.306,6.174,5.071,-2.027,,,,-9.33
HUBS,⚡panic,-1.226,18.257,1.704,-5.77,15.705,-10.681,,,,
HUM,🏦majority,-0.442,16.505,2.847,0.547,-1.828,-1.713,,,,
HWM,🏦majority,6.973,10.448,,10.71,2.3,-2.191,,,,-5.629
IBKR,🏦majority,6.738,13.382,,3.419,5.236,-2.159,,,,
IBM,🏦majority,2.171,10.774,-5.597,5.81,4.633,1.086,,,,
ICE,🏦majority,1.453,9.194,4.804,3.242,-0.757,-0.618,9.2,,,
IDXX,⚡panic,-0.707,13.034,5.2,-0.237,-8.41,0.036,4.564,,,
IEX,🏦majority,-0.134,8.729,5.923,0.341,6.238,0.684,,,,-4.196
IFF,🏦majority,-0.893,10.544,4.187,-2.487,4.487,-0.127,2.477,,,
ILMN,🎰lottery,-2.443,17.711,4.949,0.553,1.496,10.98,-13.193,,,
INCY,🏦majority,0.945,11.475,3.276,2.191,5.623,1.86,,,,
INTC,⚡panic,-0.104,20.704,2.729,-2.665,-3.965,-1.266,5.93,1.697,,-0.839
INTU,🏦majority,0.805,13.091,-5.603,-0.863,2.569,0.6,,,,
INVH,🏦majority,-0.689,7.018,0.061,-0.269,-1.2,-1.294,-0.53,,,-7.753
IOT,⚡panic,2.464,21.653,24.444,3.597,-3.432,-8.821,,-9.334,,
IP,🏦majority,-0.945,11.735,9.799,0.44,-4.867,-3.728,,,,
IPG,🏦majority,-1.248,9.117,8.695,-2.059,-2.581,0.36,,,,
IQV,🏦majority,0.498,12.693,6.047,2.331,-3.531,-3.943,,,,
IR,🏦majority,1.99,10.393,10.813,1.778,-0.769,0.749,,,,
IRM,🏦majority,4.369,12.042,1.533,5.645,-3.738,-2.013,,,,
ISRG,⚡panic,1.208,13.954,10.172,-4.98,3.542,2.452,13.233,,,-7.32
IT,🏦majority,0.62,13.649,-4.663,-0.769,2.28,-0.873,,,,
ITW,🏦majority,0.954,7.664,4.698,2.554,1.565,-0.825,,,,
IVZ,⚡panic,-1.029,14.167,16.519,1.225,-0.593,-4.617,,,,
J,🏦majority,0.16,8.072,7.236,1.467,-0.273,-2.364,,,,
JBHT,🏦majority,1.852,11.075,1.855,0.273,-1.56,-4.857,,,,
JBL,🏦majority,5.359,14.359,,-0.871,1.424,-1.844,,,,
JBLU,⚡panic,-3.138,16.244,2.059,2.741,-5.479,-5.733,1.206,,,
JCI,🏦majority,2.923,11.364,4.735,-0.166,5.761,-0.445,,,,
JD,⚡panic,-3.389,17.471,16.652,2.652,-5.53,-8.513,,,,
JKHY,🏦majority,-0.899,8.686,8.828,1.787,2.821,0.568,1.324,,,
