delta,est,lo,hi,estimator,v1,v2,status,block
0.3,0.25534796381835284,-0.036533985385434335,0.6241428846916733,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.4760496129551981,0.13356329870451933,0.8011595469167253,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.11920086192582752,-0.2571835827660174,0.4562031975975415,False,False,False,REJECT,VALIDITY
0.3,0.38869075605478787,0.0878911163269172,0.7197790431411665,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.29789447657895235,-0.0035880586606076657,0.6740880997062108,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.24273395414453586,-0.06464618156944295,0.5713036471775188,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.36297595891801016,0.07214648220281061,0.7102179341766399,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.2532890621641967,-0.06406692893699327,0.5315567368484939,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.29969211202391904,0.036619687604827755,0.5931263287553418,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.38885811599076425,0.05852465819756653,0.718346569827609,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.1552239166808575,-0.18187146069839372,0.4841982059330229,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.18819024246353705,-0.19253083066927884,0.49446935213861504,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.3197356212841116,0.044658732906703025,0.6515811421436005,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.2712212620827434,-0.07796890593323474,0.518788925076649,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2011680750405806,-0.16823973578735857,0.5546971251710575,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.12678178831502213,-0.1863322138131676,0.408100853547703,False,False,False,REJECT,VALIDITY
0.3,0.22121565407069416,-0.09723756489213808,0.5746163534258062,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.17851284294601005,-0.14441840521559335,0.5660386398545584,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.33448468018246724,0.01467893849019908,0.6959702194747751,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.3211972674244443,-0.013220853408409656,0.6411284328642096,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.319240998004344,0.031927476565279944,0.6308791808245394,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.3330356148717015,-0.0633297847072664,0.6630435110359675,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2813087972324599,-0.030472507388616118,0.6403544628639983,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.23896134096772464,-0.12198192898284083,0.6132354227255058,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.18434813295544722,-0.19159757778655556,0.5269215466394227,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.4264212489008099,0.0689434822385454,0.748574500019005,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.26774744441925263,-0.06502959092412967,0.648235112596167,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.318640070443654,-0.009412571064333906,0.7071094727676374,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.33331661345172825,-0.047351987796935,0.6587815222584268,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2994284905741604,-0.01618912032670477,0.6138480727424644,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.0918036016518628,-0.25032018805530104,0.47092248702720324,False,False,False,REJECT,VALIDITY
0.3,0.32659472030284165,0.05854832414834533,0.6666140215723086,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.11920086192582752,-0.19556241997302493,0.4067897754031417,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.4408938984450048,0.11476305834841827,0.8251897396909634,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.11920086192582752,-0.18192861890485104,0.4864135951127749,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2813087972324599,-0.09467548613798252,0.6246845429121287,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.44580155183507864,0.14245078121979088,0.7182044385141116,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.2248718728451668,-0.06439548846928933,0.5789994625031506,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.21896269082246594,-0.09799094581820739,0.5232411110780765,False,False,False,REJECT,VALIDITY
0.6,0.5250975918752893,0.2646707900281334,0.874825582760308,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.537344321841437,0.18471782860041197,0.9188723112318327,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.4192008619258275,0.03653636186414207,0.755031017531786,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5691789901805405,0.2688575475127744,0.9475344148856092,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5165718453727591,0.13838705940857093,0.837200580780754,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6213571961576231,0.27974327734968524,0.9491746096300869,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6485593387698602,0.3336623130429561,0.9522772741942866,True,False,True,BUILD,-
0.6,0.5967419532716284,0.20563308478892928,0.9585494282642112,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5554506778044582,0.20060411973677333,0.8813835167272206,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5869499441278231,0.21315328126876754,0.8872385019155239,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6724861657388165,0.29777065927054674,0.9872482218861969,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5890762866143867,0.25331801451315833,0.8757260889200948,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6824217281617634,0.3427313080743227,1.0929409104328125,True,False,True,BUILD,-
0.6,0.6342215960680403,0.2895690597440226,0.985604128568792,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.4403347934134655,0.11507012080573337,0.7001958587238368,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6974915946607035,0.3558527934421915,1.0428117064910525,True,False,True,BUILD,-
0.6,0.4192008619258275,0.08348430768613774,0.7011734565359312,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.801264002887036,0.4816083326441173,1.143229283571723,True,False,True,BUILD,-
0.6,0.6618036472912697,0.2693567848230488,1.0047514822818824,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.7390139400494705,0.41988640504226793,1.1278951456087856,True,False,True,BUILD,-
0.6,0.6331145524020138,0.30533806730538876,0.949239620222695,True,False,True,BUILD,-
0.6,0.5603690680657797,0.21676473657779777,0.9162791742118829,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5909483930550569,0.28414463939261086,0.8843156369063218,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6213571961576231,0.21467114798540438,1.0607526328978247,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.4884209819073443,0.13777924124735969,0.806375237363643,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5958347251607482,0.30676985509829807,0.8860875658133129,True,False,True,BUILD,-
0.6,0.5339476945773741,0.14361851647958973,0.8838420140960187,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.5011680750405806,0.15387493174395667,0.8285971812102961,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.6697603888156206,0.3973475288060363,0.9777459461208766,True,False,True,BUILD,-
0.6,0.6266697415938766,0.28530439296230586,0.9163259864621776,True,False,False,UNRESOLVED,MATERIALITY
0.6,0.31439735568563,-0.057850040463720546,0.6217862116387248,False,False,False,REJECT,VALIDITY
0.6,0.5039250845810689,0.2242663268831771,0.8857112962163473,True,False,False,UNRESOLVED,MATERIALITY
