cell,setup,n_cell,n_ctl,dates_cell,dates_ctl,top_date_share_cell,top_date_share_ctl
¬sig_conso,🌉v2 Z1G→T3/T6,41,34,14,28,0.5121951219512195,0.11764705882352941
¬sig_conso,🎬StopVol-Confirm,395,818,264,453,0.017721518987341773,0.018337408312958436
¬sig_conso,🎯Cluster,326,293,187,216,0.03374233128834356,0.023890784982935155
¬sig_conso,🎯Confluence≥3,701,938,337,487,0.06562054208273894,0.01812366737739872
¬sig_conso,🎯Confluence≥4,75,94,55,86,0.2,0.031914893617021274
¬sig_conso,🎯T1-RS-Dip,339,366,187,212,0.029498525073746312,0.03551912568306011
¬sig_conso,🎯T3-RS-Dip,390,979,208,419,0.028205128205128206,0.026557711950970377
¬sig_conso,🏆L34→L34,39,187,36,146,0.07692307692307693,0.0213903743315508
¬sig_conso,👑Z1G-CROWN,233,163,62,106,0.6351931330472103,0.08588957055214724
¬sig_conso,📐RSI-Div,189,695,113,311,0.047619047619047616,0.03597122302158273
¬sig_conso,🔄DualReclaim,464,346,225,179,0.034482758620689655,0.031791907514450865
¬sig_conso,🔄DualReclaim deep,78,53,57,43,0.07692307692307693,0.05660377358490566
¬sig_conso,🥪T2G-Sandwich,88,80,68,69,0.06818181818181818,0.0375
¬sig_conso,🧊Coil-Floor,911,4307,379,830,0.03512623490669594,0.014395170652426282
¬sig_conso,🧲Z9-HL,99,51,22,43,0.5656565656565656,0.058823529411764705
¬sig_conso,🧺SEQ-20,92,179,65,133,0.10869565217391304,0.03910614525139665
¬sig_conso,🪨T1G-NB,64,194,60,153,0.046875,0.030927835051546393
sig_lead_in_lag,Atomic,2624,19651,580,1203,0.018673780487804877,0.013739758790901226
sig_lead_in_lag,Atomic-R,16,134,13,80,0.1875,0.07462686567164178
sig_lead_in_lag,D+L1,377,2643,229,772,0.026525198938992044,0.02043132803632236
sig_lead_in_lag,Engulf-Abs,37,573,35,249,0.05405405405405406,0.18848167539267016
sig_lead_in_lag,FailedBear-Turn,19,160,18,119,0.10526315789473684,0.05
