setup,n,exp,mean,mean_c,med,med_c,sharpe,sharpe_c,pf,pf_c,maxret,d_sharpe_rank
🥇G3A·LEAD-in-LAG,1123,1,6.782664757708548,6.8633248735120524,5.438294649503478,5.4419347705671415,0.35548735191824077,0.36321785144777763,2.864636413108491,2.9245734619121913,158.2840349394429,1.0
🥇L43·LEAD-in-LAG,171,0,7.216684678394747,7.216684678394747,6.3569063072058505,6.3569063072058505,0.44329165284606914,0.44329165284606914,3.4457424753850963,3.4457424753850963,70.18878048376368,0.0
🥪T2G-Sandwich🏆RS,197,0,3.615946222472582,3.615946222472582,1.7828706744950795,1.7828706744950795,0.17360805338957389,0.17360805338957389,1.7198462523306342,1.7198462523306342,140.90960706677603,0.0
🪨T1G-NB🏆RS,342,1,5.177018876477259,4.422104891262465,3.531184098322199,3.5279988833835816,0.2165721794323283,0.22756246727199328,2.0562803527625264,1.899615161159135,262.6026878347216,4.0
🌉Z1G→T4 🟡watch,166,0,15.715130881235018,15.715130881235018,8.047746699174002,8.047746699174002,0.49720080203431033,0.49720080203431033,5.624065384639715,5.624065384639715,256.14726235011165,0.0
🧲Z9-HL 🟡watch,270,0,12.889549631709258,12.889549631709258,13.588650607097758,13.588650607097758,0.5268023981026024,0.5268023981026024,3.8643997138114003,3.8643997138114003,92.40782014953012,0.0
🌉v2 Z1G→T3/T6 🟡watch,188,0,17.302505261292453,17.302505261292453,16.60403072879087,16.60403072879087,0.6587571773260272,0.6587571773260272,6.406079174152842,6.406079174152842,109.3644503271443,0.0
🧺SEQ-20 🟡watch,596,0,5.011332098945184,5.011332098945184,4.0793719950028065,4.0793719950028065,0.23063950532942792,0.23063950532942792,1.9305397584027406,1.9305397584027406,193.89013037904897,0.0
👑Z1G-CROWN 🟡watch,1105,0,16.565491536151114,16.565491536151114,14.949090494692758,14.949090494692758,0.5966613699818994,0.5966613699818994,5.1645672015086985,5.1645672015086985,176.68185989334003,0.0
coil_floor·🧱OB,4303,1,10.364210392219949,10.386778434814197,8.605312232187861,8.61116590065612,0.4629234012109981,0.4648949239000296,3.885523909123994,3.9074492979129594,239.10489718178636,0.0
gem1_capbounce·15mZ,141,0,8.238212019143965,8.238212019143965,7.071465353758449,7.071465353758449,0.3461506842792119,0.3461506842792119,2.76601033568251,2.76601033568251,113.75900357829165,0.0
z11t11·15mZ,288,0,12.803718263982605,12.803718263982605,8.931164760154815,8.931164760154815,0.40421880444127645,0.40421880444127645,4.652821131316585,4.652821131316585,353.2359947055274,0.0
g3g3rl·🏆RS,398,0,9.217330386524587,9.217330386524587,8.226087423104762,8.226087423104762,0.47591739982552556,0.47591739982552556,3.713237708392163,3.713237708392163,92.69117302307409,0.0
g3g3rl·🔑KEY,1259,0,10.788622187418282,10.788622187418282,8.7741915799807,8.7741915799807,0.4715883860279461,0.4715883860279461,4.038059195885158,4.038059195885158,238.21854115418296,0.0
g3g3rl·CONF,410,0,12.90872675794717,12.90872675794717,9.263393235029188,9.263393235029188,0.4546475292700252,0.4546475292700252,5.3941090598918375,5.3941090598918375,353.2359947055274,0.0
g3g3rl·15mZ,1116,0,12.332399258626863,12.332399258626863,9.26599742950342,9.26599742950342,0.45984154530606547,0.45984154530606547,4.451368613131773,4.451368613131773,353.2359947055274,0.0
g3rl·🧱OB,595,0,13.447741806365677,13.447741806365677,9.924250326637713,9.924250326637713,0.5111751213781268,0.5111751213781268,4.693771242418288,4.693771242418288,182.15381700177,0.0
z1gcrown·🔑KEY,885,0,20.414978216722925,20.414978216722925,18.637661120133327,18.637661120133327,0.7518677525979927,0.7518677525979927,8.09945334235903,8.09945334235903,176.68185989334003,0.0
z1gcrown·15mZ,989,0,18.66360798240974,18.66360798240974,16.933016714499168,16.933016714499168,0.6827855700196426,0.6827855700196426,6.68363338484095,6.68363338484095,176.68185989334003,0.0
