ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
EQR,🏦majority,0.124,3.006,-0.01,0.117,-0.015,-0.056,0.104,-0.051,-0.201,0.878
EQT,🏦majority,0.325,6.065,0.208,0.006,0.063,-0.189,0.02,0.359,-0.952,-2.59
ERIE,🏦majority,0.151,5.159,0.238,0.037,-0.331,-0.014,-0.156,-0.445,-0.191,0.448
ES,🏦majority,0.208,3.292,0.283,0.054,-0.085,-0.098,0.284,-0.102,0.45,-1.233
ESS,🏦majority,0.135,3.192,0.244,0.146,-0.178,-0.036,0.367,-0.216,0.073,0.322
ESTC,🏦majority,0.184,8.419,0.692,0.186,0.016,0.051,0.67,0.215,0.355,-0.643
ETN,🏦majority,0.613,4.019,0.26,0.24,0.106,-0.051,0.269,-0.006,0.342,-0.001
ETR,🏦majority,0.378,2.978,0.51,0.053,-0.103,-0.101,0.357,0.008,0.055,-0.67
EVRG,🏦majority,0.323,2.695,0.029,-0.018,-0.146,0.055,0.13,-0.128,0.35,-1.187
EW,🏦majority,0.054,4.501,0.023,0.104,0.045,-0.233,0.235,-0.019,0.863,-1.086
EXC,🏦majority,0.24,3.283,0.337,0.068,-0.084,-0.103,0.297,-0.348,0.189,-1.535
EXE,🏦majority,0.388,4.214,-0.926,-0.174,-0.081,0.138,-0.748,-0.063,0.3,1.903
EXPD,🏦majority,0.282,3.536,0.236,0.205,-0.064,-0.155,0.298,-0.133,-0.24,-3.259
EXPE,🏦majority,0.442,6.487,-0.022,0.196,-0.231,-0.039,0.213,0.043,0.194,-2.668
EXR,🏦majority,0.154,3.938,-0.608,-0.039,0.058,-0.022,-0.5,0.051,-0.439,-1.548
F,🏦majority,0.233,5.634,-0.03,-0.133,0.362,-0.085,0.144,-0.136,0.42,-3.266
FANG,🏦majority,0.393,5.32,0.229,0.016,-0.045,0.034,0.074,0.367,-0.463,-4.758
FAST,🏦majority,0.271,3.298,-0.125,0.091,0.084,0.121,-0.12,-0.317,0.029,-1.126
FCX,🏦majority,0.338,6.358,0.057,0.016,0.066,-0.286,0.243,0.641,0.497,-2.967
FDS,🏦majority,0.199,4.204,-0.247,0.036,0.107,-0.12,-0.051,0.081,0.15,-2.102
FDX,🏦majority,0.348,4.621,0.307,0.247,-0.054,-0.125,0.329,0.068,0.262,-1.438
FE,🏦majority,0.221,2.707,0.065,0.082,-0.052,-0.001,0.142,-0.118,-0.164,-0.445
FFIV,🏦majority,0.546,3.998,0.228,0.244,-0.048,-0.302,0.3,-0.109,0.149,-2.494
FICO,🏦majority,0.485,6.112,0.24,-0.223,-0.024,-0.015,-0.333,-0.267,0.36,-5.409
FIS,🏦majority,-0.039,4.68,0.11,-0.034,0.099,-0.006,0.096,-0.04,-0.062,-0.031
FISV,🏦majority,0.258,5.578,0.238,0.238,0.01,-0.258,0.238,0.0,0.576,-4.752
FITB,🏦majority,0.241,4.483,0.162,0.148,-0.213,0.066,0.112,-0.063,0.266,-2.974
FIX,🏦majority,1.242,6.337,0.775,0.14,-0.353,-0.135,0.64,-0.046,-0.138,-0.481
FLEX,🏦majority,0.833,6.567,-0.013,0.106,0.198,-0.004,-0.026,0.411,0.92,-3.562
FLT,🏦majority,0.441,4.313,-0.004,0.153,-0.047,0.059,-0.126,-0.166,0.15,-0.014
FMC,🏦majority,-0.071,6.601,0.083,-0.016,0.006,-0.036,0.043,-0.315,-0.257,-1.793
FNV,🏦majority,0.419,4.302,-0.056,0.042,0.086,0.038,-0.061,0.113,-0.548,-3.228
FOX,🏦majority,0.416,3.831,0.192,0.118,0.001,-0.069,0.087,-0.174,0.21,-2.104
FOXA,🏦majority,0.387,3.934,0.22,0.084,0.021,-0.224,0.188,-0.357,0.744,-1.051
FRT,🏦majority,0.086,3.15,0.09,0.189,0.039,-0.027,0.204,-0.104,-0.056,-0.957
FSLR,🏦majority,0.068,7.991,0.69,-0.01,-0.401,-0.015,0.353,-0.059,-0.11,-1.594
FTNT,🏦majority,0.625,6.126,0.341,0.147,-0.163,-0.002,0.054,0.297,-0.072,-3.626
FTV,🏦majority,0.17,3.433,0.166,0.295,0.048,-0.187,0.322,-0.268,-0.091,-3.374
GD,🏦majority,0.313,2.773,0.376,0.14,-0.019,-0.136,0.297,-0.079,-0.095,-1.47
GDDY,🏦majority,0.199,4.611,-0.021,-0.025,-0.112,0.112,0.054,0.077,0.354,-3.305
GE,🏦majority,0.988,4.319,0.032,0.157,0.072,-0.089,0.249,-0.022,0.066,-1.279
GEHC,🏦majority,0.03,4.476,0.517,0.19,-0.214,-0.277,0.277,-0.001,-0.069,0.522
GEN,🏦majority,0.156,4.634,-0.011,-0.009,-0.015,-0.008,0.196,0.094,0.598,-0.028
GEV,🏦majority,1.929,6.516,1.425,0.158,0.524,-0.017,0.741,0.313,0.72,4.496
GILD,🏦majority,0.179,3.298,-0.032,-0.074,-0.036,-0.108,-0.117,-0.179,0.344,-1.3
GIS,🏦majority,-0.145,2.915,-0.058,-0.054,0.002,-0.003,-0.125,0.066,0.15,0.102
GL,🏦majority,0.399,4.517,0.36,0.193,-0.172,-0.023,0.183,0.156,-0.138,0.6
GLW,🏦majority,0.407,5.605,-0.219,0.089,-0.033,-0.066,0.065,-0.037,0.745,-1.49
GM,🏦majority,0.152,5.102,0.013,0.075,0.114,-0.162,0.054,-0.032,0.332,-1.416
GNRC,🏦majority,0.061,7.502,0.079,-0.087,-0.126,0.17,-0.196,-0.048,0.121,-4.352
GOLD,🏦majority,0.0,6.827,0.0,-0.206,-0.275,0.0,0.0,-0.197,-0.914,0.921
GOOG,🏦majority,0.466,4.35,0.237,-0.002,-0.01,-0.064,0.083,0.051,-0.817,-0.793
GOOGL,🏦majority,0.47,4.384,0.295,0.032,-0.021,0.006,-0.081,0.037,-0.762,-1.399
GPC,🏦majority,0.087,3.818,0.23,0.018,-0.058,0.019,-0.015,-0.045,-0.161,-1.322
GPN,🏦majority,-0.129,5.024,0.252,0.022,-0.094,-0.066,0.249,-0.312,0.891,-1.904
GRMN,🏦majority,0.37,4.561,0.049,-0.026,-0.045,0.026,0.178,0.056,-0.259,-0.059
GS,🏦majority,0.475,4.065,0.051,0.178,0.102,-0.128,0.097,0.286,-0.231,-1.093
GTLB,🏦majority,-0.399,10.223,0.313,-0.208,-0.469,-0.049,-0.016,-0.058,-2.219,-2.768
GWW,🏦majority,0.353,3.506,0.13,0.052,-0.201,-0.066,0.121,0.194,-0.113,-1.353
HAL,🏦majority,0.316,5.825,-0.077,0.196,-0.048,0.005,-0.004,-0.086,-0.124,-1.054
