setup,n_40,med_40,mean_40,win_40,pf_40,hold_40,yrs_40,nyr_40,worst_40,n_60,med_60,mean_60,win_60,pf_60,hold_60,yrs_60,nyr_60,worst_60,n_90,med_90,mean_90,win_90,pf_90,hold_90,yrs_90,nyr_90,worst_90,n_120,med_120,mean_120,win_120,pf_120,hold_120,yrs_120,nyr_120,worst_120,d90
🎯Confluence≥3,33347,1.9006277620605971,2.610686143932161,56.25093711578253,1.573022035623216,39.22145920172729,6,6,0.5604339570220165,33347,2.474020370961144,3.4329808893422418,56.853689987105284,1.6267894085292895,58.09383152907308,5,6,-0.243186886825386,33347,3.4153160213886533,4.696882518133038,57.465439169940325,1.7230793048057353,85.11440309473116,4,6,-1.5064639687590584,33347,3.7122652928057107,5.397841486754279,57.00362851230996,1.733913570830547,109.60179326476145,4,6,-3.739098461683815,0.9412956504275094
🎯Confluence≥4,11858,2.8811560868014565,3.7127681709033364,59.015010963062906,1.927307356017624,39.395766571091244,6,6,0.47650293485824186,11858,3.5113379039738044,4.778996674202906,59.47883285545623,1.9833761028915315,58.51155338168325,5,6,-0.3865451561593068,11858,4.874640973579197,6.614692584511078,60.71850227694383,2.1658516631694322,86.12143700455388,5,6,-0.3346044084147791,11858,5.207175424952698,7.297570589506426,59.40293472761006,2.1197268860800644,111.10583572271884,5,6,-2.719770598684473,1.3633030696053927
🎯Confluence💎89+,9713,1.7003425473119338,2.080837320892049,55.863276021826415,1.4700191464818084,38.938741892309274,6,6,0.1054949940379858,9713,2.0783313409378055,2.5210118827075694,56.110367548646146,1.4684060504303602,57.576752805518375,4,6,-1.331092211448098,9713,2.5555488953406478,3.2540613715585787,55.94563986409966,1.5006528567687052,84.1157211983939,4,6,-4.538888354799947,9713,3.2103178849473055,4.022742245577275,56.6045506022856,1.5602649233915007,107.86502625347472,4,6,-6.691767985216529,0.4772175544028423
⚡G3-Abs,10692,2.9434316164920924,3.7158742191911793,59.00673400673401,1.873049907032018,39.1390759446315,6,6,0.044849464045454555,10692,2.89783138058794,4.277607059637086,57.68799102132436,1.803651497053581,57.99850355405911,5,6,-1.401621480627918,10692,4.010924807170352,6.1744948887778595,58.651328095772534,2.003561671643812,85.07061354283576,5,6,-2.5002404708586057,10692,4.589994778945688,7.253659856629308,58.417508417508415,2.060312174605413,109.85138421249532,4,6,-2.142178198806893,1.1130934265824122
🎯Cluster🏆RS,7548,3.350162575327359,4.232291144164353,60.67832538420773,2.1813815735902624,39.05445151033386,6,6,1.15850887243954,7548,3.6749569209282464,5.054575171665513,60.26762056173821,2.176737884671132,57.897323794382615,6,6,0.9854079400145546,7548,5.637529104432354,7.407382251720253,61.73820879703232,2.467519630387953,85.02371489136195,6,6,0.2679815478436266,7548,6.534217108006252,9.266224369038415,63.049814520402755,2.7380508847900065,109.26629570747218,6,6,1.6452335314914912,1.9625721835041077
QZ-Capit🏆RS,13023,2.39405625604146,3.329070364283305,57.53666589879444,1.7835417814376422,39.34961222452584,5,5,1.497492761577607,13023,3.1474113499311116,4.3761210480374695,58.23542962451048,1.8973378593209165,58.24571911233971,5,5,1.247718919775337,13023,4.3374247070951775,6.243268365903855,59.27205712969362,2.099193908479455,85.1233970667281,5,5,0.15353542178800375,13023,5.014446302961711,7.667618692605354,59.14919757352377,2.2188300414284785,109.65299854104278,5,5,0.25588766016231845,1.1900133571640659
⚡G3-Abs🏆RS,2629,4.463741438901786,5.161107987243716,64.01673640167364,2.504285064362301,38.97945987067326,5,5,1.5024907903030296,2629,4.336042166002857,5.928315033690234,61.58235070368961,2.393614372006173,57.84176492963104,5,5,0.1271819441905854,2629,6.308781575463623,8.924433402171381,62.87561810574363,2.8379088605495824,85.05249144161279,4,5,-1.5998543196701187,2629,7.117052337202506,10.907922533438247,64.43514644351464,3.2013113084405647,109.7413465195892,5,5,1.7385502384660911,1.9727394094607664
Spring🔑,1727,1.5329820464889345,1.8104885809827997,54.89287782281412,1.3564845850413674,39.36247828604517,6,6,0.2931537167356669,1727,1.6999739101341949,2.2141805518783757,54.89287782281412,1.3756225815090817,58.15923566878981,4,6,-0.9340227393003162,1727,1.4610445195127721,1.9621659205214876,52.22929936305732,1.2595636043201104,84.69947886508396,4,6,-1.8478408356457587,1727,2.2777276565510816,1.9435316803484444,54.8349739432542,1.2236382172532858,109.07469600463232,5,6,-3.9239408899268193,-0.2389293906214227
QZ-Capit🔑,29366,1.2716380347511493,2.0257925305877804,54.127221957365656,1.3976916433172126,39.36998569774569,6,6,0.8506651906342313,29366,1.8512660246383927,2.7817897190050225,54.85595586732956,1.4694754607733664,58.25893890894231,6,6,0.3709230654438235,29366,2.7425271200866073,3.7868813538366313,55.95246203092012,1.5330479970648476,85.08482598923926,5,6,-1.4989656014036177,29366,2.399594827614698,3.9611283993632,54.2259756180617,1.479113192054447,109.77562487230131,4,6,-5.464442129908592,0.8912610954482145
D+L1🔑,2999,0.9259378095847706,1.6369986103443799,53.78459486495498,1.3640327162630033,38.555185061687226,5,6,-0.058757553325200364,2999,1.7480819891978971,2.3891285014931967,55.351783927975994,1.445061493081018,56.64054684894965,5,6,-0.7389711999222501,2999,2.626962051976883,3.482662496557694,56.618872957652556,1.55988315010752,82.12870956985662,4,6,-2.370119127230791,2999,2.6952810184812934,4.03670115794803,55.9186395465155,1.5757075334416526,105.07402467489163,4,6,-5.008080580082735,0.8788800627789859
QZ-Capit🏛️BOS,2014,1.5697137444820985,2.0898537883312587,54.5183714001986,1.413495995549752,39.42552135054618,5,6,-0.4506064920745732,2014,3.0228338120139533,3.6191297050579574,58.043694141012914,1.6438389034430732,58.35799404170805,6,6,0.2765631772781831,2014,3.2535610468170715,4.348744249833578,57.24925521350546,1.6520030747131633,85.5059582919563,5,6,-0.28374927459481875,2014,3.08109848981844,4.398461158562597,55.064548162859985,1.5495012331587568,110.84657398212512,4,6,-4.299785396298262,0.2307272348031182
QZ-Capit🧱OB,9550,5.825780198236691,7.612043369310946,64.7434554973822,2.7757744669147826,39.22973821989529,6,6,3.150796979712883,9550,6.519786505139375,8.579862050350128,63.717277486910994,2.5868838830720877,57.95214659685864,6,6,1.3361442538127268,9550,6.635192245072136,9.372154273804528,61.05759162303664,2.335041481312417,84.44293193717277,5,6,-3.499843389074603,9550,6.192523466407035,9.7416570848978,58.858638743455494,2.18769898333619,108.74429319371728,5,6,-7.838136669168433,0.11540573993276126
🎯Cluster🧱OB,9251,4.355922584952637,5.258732771618846,61.269051994378984,2.1245619365435697,39.069073613663384,6,6,2.4458768813216345,9251,4.412132871921953,5.877691984403456,59.83136958166685,1.999286281605701,57.8820668035888,5,6,-0.0272343367361537,9251,5.1884240654168465,6.870008837959196,59.1936006918171,1.9608599140707863,84.97459734082801,5,6,-4.178874665543747,9251,5.234174849596967,7.970050106829082,58.307210031347964,1.98128776935323,109.76499837855367,5,6,-7.611015826659334,0.7762911934948935
D+L1🧱OB,1022,4.235156137107282,5.177551479728725,58.80626223091977,1.9104369610976732,37.76125244618395,6,6,1.545329559200198,1022,3.881301745865068,6.065971193028246,58.023483365949126,1.926804506408071,55.2866927592955,5,6,-0.3585559007564408,1022,4.751747689884161,6.6385071435781695,58.6105675146771,1.8252839719000777,79.93150684931507,5,6,-5.878966524689794,1022,4.433966818241592,7.842632605693501,56.555772994129164,1.863676455417485,101.91389432485323,5,6,-10.508270521679453,0.8704459440190933
