generator,rep,band_p95,best_est,n_clears_band,n_promoted,n_final,pct_lvl0,pct_unchanged,pct_lvl1,pct_lvl2,combolab_freeze
marginal_date_v1,93,3.226253311149776,2.8952516615390778,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,94,3.2066309405490756,2.593693695962429,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,95,3.2613745657727122,3.0499509535729885,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,96,3.2826129952445626,2.9740999452769756,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,97,3.2005296275019646,2.8148669749498367,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,98,3.2594221038743854,3.122862335294485,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,99,3.254996733739972,3.160551656037569,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,100,3.2531837187707424,2.985791675746441,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,101,3.20329864975065,3.052253555506468,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,102,3.2069225842133164,2.8249019756913185,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,103,3.2540369126945734,2.9215157963335514,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,104,3.2636359008029103,3.0712924897670746,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,105,3.268366139382124,3.2097961753606796,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,106,3.275769120082259,2.9427715577185154,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,107,3.2775487238541245,2.875692117959261,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,108,3.194628693163395,3.045397251844406,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,109,3.259483454748988,2.6686273515224457,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,110,3.2052695471793413,3.1226993538439274,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,111,3.226009947247803,3.107264172285795,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,112,3.3120987843722105,2.9135474003851414,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,113,3.308912217617035,3.1447102315723896,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,114,3.2961158268153667,2.9963238164782524,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,115,3.3126149652525783,2.9242205433547497,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,116,3.223610776476562,2.787689957767725,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,117,3.215815839357674,2.859157882630825,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,118,3.2345080003142357,2.8095174580812454,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,119,3.184047508984804,2.5551581755280495,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,120,3.2582297595217824,3.036464098840952,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,121,3.2568234391510487,3.3953613601624966,1,1,1,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,122,3.250676547177136,2.9116022400557995,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,123,3.2408020086586475,3.134315088391304,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,124,3.2771668676286936,3.2766553573310375,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,125,3.298281552270055,2.4439756758511066,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,126,3.2543306425213814,2.929743006825447,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,127,3.3051975490525365,3.0772103928029537,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,128,3.274035253562033,3.374043945223093,1,1,1,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,129,3.1759223202243447,2.4436497129499912,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,130,3.295160629786551,2.5761596858501434,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,131,3.2782733906060457,2.622657921165228,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,132,3.3088733442127705,2.4169298820197582,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,133,3.298804424703121,3.2494238577783108,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,134,3.278101496398449,3.02982022985816,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,135,3.2918524648994207,2.554075326770544,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,136,3.3273523719981313,2.851160243153572,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,137,3.2213475555181503,3.0781627632677555,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,138,3.2369247218593955,2.711938228458166,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,139,3.2753414241597056,2.7290903963148594,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,140,3.206043695099652,2.9063528403639793,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,141,3.2442664029076695,2.6563256978988647,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,142,3.2300664018839598,2.8323473408818245,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,143,3.251745644956827,2.5280327536165714,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,144,3.276981394737959,2.98025906085968,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,145,3.212521164678037,2.6891334913671017,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,146,3.237738865427673,2.7725310064852238,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,147,3.2150409603491426,2.805829793214798,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,148,3.2297054398804903,3.0946522019803524,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,149,3.185059535317123,2.7018572203814983,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
