ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AMH,🏦majority,0.174,4.11,1.42,-0.141,-0.284,-0.414,1.529,0.031,-0.064,-3.581
AMKR,⚡panic,0.607,11.213,1.192,0.16,-1.608,-1.359,1.673,-1.05,0.463,-9.88
AMLX,🏦majority,0.139,16.835,2.622,-0.104,0.001,0.012,-0.642,-1.886,-2.735,-9.102
AMN,⚡panic,-0.092,10.184,2.394,-0.594,-0.886,-0.419,0.96,-0.302,0.795,-2.055
AMP,🏦majority,0.757,5.39,0.693,-0.282,-0.211,-0.485,-0.145,-0.063,-0.48,-5.986
AMPH,🏦majority,0.619,9.632,-1.3,-0.228,0.788,1.834,-0.875,1.292,1.57,-2.44
AMPL,🎰lottery,-1.377,13.542,-1.963,0.944,1.593,-0.785,-1.564,7.616,-2.072,-15.838
AMR,🎰lottery,1.427,12.294,-2.381,-0.578,1.0,0.547,-2.456,-4.539,1.09,-11.247
AMRC,🎰lottery,-0.364,14.924,0.282,-0.644,1.107,0.496,-1.465,0.681,-3.212,-9.453
AMRX,🏦majority,2.18,7.567,1.066,2.257,0.81,-0.516,0.247,-1.067,0.537,
AMSC,🏦majority,2.842,19.082,-1.963,-0.768,-2.443,0.977,0.564,-3.474,-3.25,
AMT,🏦majority,0.053,5.38,0.721,-0.144,0.33,-0.582,-0.441,-0.226,1.202,-1.765
AMWD,🏦majority,-0.449,9.271,0.837,1.453,1.497,0.747,2.252,-0.442,2.147,
AMZN,🏦majority,0.67,6.96,0.117,0.276,0.503,-0.352,1.103,-0.057,1.871,-3.268
AN,🏦majority,0.535,6.484,1.929,0.503,-0.472,0.462,0.65,1.909,0.797,-8.51
ANAB,⚡panic,0.982,14.478,3.023,1.984,1.074,-0.935,3.447,-2.066,-2.485,-12.408
ANDE,🏦majority,1.38,7.908,2.753,-0.053,-0.37,0.056,0.994,-0.649,-1.97,-2.498
ANET,🏦majority,1.903,9.241,-0.419,1.099,-0.519,0.109,1.81,2.606,-2.14,-1.665
ANF,🎰lottery,1.269,12.108,-3.812,-0.44,0.484,0.44,-3.637,0.888,2.408,-3.057
ANGI,🎰lottery,-3.389,15.985,1.146,0.285,1.249,-0.774,-1.318,6.384,4.072,-23.081
ANGO,⚡panic,0.286,14.197,2.716,-0.74,3.152,-0.878,2.526,-6.79,-9.05,
ANIP,⚡panic,0.646,10.044,2.849,-0.433,-0.353,-0.056,2.778,-1.895,-0.057,-0.815
AON,🏦majority,0.833,4.429,0.663,-0.061,-0.052,-0.27,0.177,-0.306,0.151,-3.596
AORT,🎰lottery,0.945,13.113,-2.563,0.478,2.119,-0.39,0.784,-0.434,-2.031,
AOS,🏦majority,-0.151,5.283,-0.518,0.77,0.186,-0.248,-0.381,2.328,0.045,-4.255
AOSL,🎰lottery,0.898,15.474,-0.986,-0.018,-0.375,0.678,0.29,-1.391,1.332,-16.759
APA,⚡panic,0.475,9.253,1.613,-0.352,-1.308,-1.028,0.685,0.077,-0.236,-2.856
APAM,🏦majority,-0.326,6.461,-0.143,0.568,0.542,-0.819,1.717,0.485,0.673,-6.96
APD,🏦majority,0.002,5.239,0.198,-0.183,0.48,-0.393,-0.317,-1.464,0.768,-4.903
APG,🏦majority,0.969,6.351,0.502,-0.24,-0.297,0.802,-0.4,1.457,-0.103,-2.876
APGE,⚡panic,1.542,16.032,4.092,0.507,0.354,-0.485,0.222,1.102,2.631,
APH,🏦majority,1.38,5.909,0.607,-0.475,0.008,0.213,0.834,0.475,0.235,-0.602
APLD,🏦majority,1.909,21.104,1.1,0.0,-3.139,0.071,-3.825,4.416,-2.903,-28.59
APLE,🏦majority,0.183,4.877,1.336,0.347,-0.057,0.667,-0.115,-1.876,-1.021,-2.145
APO,🏦majority,1.09,7.176,0.498,0.086,0.126,-0.258,0.001,0.539,-0.032,-3.786
APOG,🏦majority,0.22,7.804,-1.044,0.743,0.173,-0.356,-0.349,-0.789,1.213,-4.789
APP,🏦majority,2.497,15.351,-2.642,-1.546,-1.557,0.219,1.865,3.632,-2.835,-16.137
APPF,🏦majority,0.545,8.028,2.249,0.553,-0.275,0.154,1.462,2.466,-2.197,-3.036
APPN,⚡panic,-1.687,10.585,1.962,0.894,-1.979,-1.113,1.677,1.316,3.706,-10.698
APPS,🏦majority,-2.254,16.567,-0.13,-3.441,2.264,-0.131,1.16,-2.595,1.077,-6.123
APTV,⚡panic,-0.656,8.245,1.488,-0.13,-0.826,-0.673,0.215,0.198,-0.696,-9.526
