family,best,n,mean,lo,hi,sharpe,k_low,k_mid,k_high,dsr_low,dsr_mid,dsr_high,ci_ok,p,fdr_pass,class
🔄DualReclaim,🔄DualReclaim🏆RS,4444,5.350480252712445,3.982109583956381,6.890297340087992,0.2750953807543677,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🔄DualReclaim deep,🔄DualReclaim deep,1475,6.651936777320818,4.705231183736035,8.48801406068488,0.3574576197223141,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🥇G3A,🥇G3A·LEAD-in-LAG,1123,6.782664759041691,4.581974024476639,8.824406660211471,0.35548735270678095,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🥇L43,🥇L43·LEAD-in-LAG,171,7.216684668793272,4.705459171927009,10.049922393712526,0.4432916517076703,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🧊Coil-Floor,🧊Coil-Floor,16051,4.559650867745669,3.5912470772261322,5.593457014456472,0.24266864957122805,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🧺SEQ-20,🧺SEQ-20 🟡watch,596,5.0113321101682065,2.1636765181000657,7.719518154713169,0.23063950659802707,1,1,3,1.0,1.0,0.9965,True,0.0,True,robust
🏆L34→L34+RS,🏆L34→L34+RS,194,5.117094486990234,1.6279796509516573,9.601642285569516,0.18637213330313265,1,1,3,0.9998,0.9998,0.8584,True,0.00019999999999997797,True,robust
🥪T2G-Sandwich,🥪T2G-Sandwich🏆RS,197,3.615946253746285,0.7867602410823887,6.819372326339662,0.1736080535426125,1,1,3,0.9972,0.9972,0.7538,True,0.0028000000000000247,True,robust
Spring,Spring🏆RS,282,4.626338564995544,2.2236192129546395,7.516413408943188,0.23417367035789863,4,4,6,0.9262,0.9262,0.757,True,0.07379999999999998,True,robust
Engulf-Abs,Engulf-Abs🏆RS,160,7.6790139816876035,2.4749939568125856,13.140914279788046,0.3491545770101922,2,18,20,0.9999,0.8267,0.799,True,0.1733,False,fragile
🪨T1G-NB,🪨T1G-NB🏆RS,342,5.177018895742894,2.6461583238471156,8.138005422002845,0.21657218005070852,1,5,7,1.0,0.7848,0.54,True,0.21519999999999995,False,fragile
T1-CapBounce,T1-CapBounce,364,6.043994935548604,3.488044506762313,8.326947063053847,0.2568464287022987,2,8,10,0.9996,0.7381,0.6185,True,0.2619,False,fragile
D+L1,D+L1🧱OB,1022,6.065971183349901,3.733864009393611,8.322163857196252,0.20970513904400587,6,6,8,0.656,0.656,0.3056,True,0.344,False,fragile
🥇G3,🥇G3·LEAD-in-LAG,1781,6.667725438580829,4.348049662845933,9.081410650032558,0.3577355995561061,1,151,153,1.0,0.0086,0.0079,True,0.9914,False,fragile
Atomic,Atomic🏆RS💎,10166,3.121540898404639,1.8052424364350392,4.347787269026158,0.14392722358609508,3,9,11,0.9331,0.0,0.0,True,1.0,False,fragile
HighBase-15mDip,HighBase-15mDip,28982,2.3407959657268544,1.4587639235708354,3.2194596690818194,0.11027795068953555,1,5504,5506,1.0,0.0,0.0,True,1.0,False,fragile
🌉v2 Z1G→T3/T6,🌉v2 Z1G→T3/T6 🟡watch,188,17.30250540645199,-1.3714090526542242,25.89841382926926,0.6587571773376293,1,1,3,1.0,1.0,1.0,False,0.0,False,⛔ CI≈0
👑Z1G-CROWN,👑Z1G-CROWN 🟡watch,1105,16.565491538278852,-0.7978820574681729,24.39686180237349,0.5966613700521162,1,1,3,1.0,1.0,1.0,False,0.0,False,⛔ CI≈0
🧲Z9-HL,🧲Z9-HL 🟡watch,270,12.88954963338458,-3.638326012040094,19.515358796437855,0.5268023980624423,1,1,3,1.0,1.0,1.0,False,0.0,False,⛔ CI≈0
