ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
BILL,🏦majority,-4.077,24.042,13.793,-0.691,-6.653,-4.607,8.405,,,
BIO,🏦majority,-1.486,12.494,5.494,1.292,-2.31,-3.415,2.39,,,
BJRI,⚡panic,-0.27,17.761,30.875,6.557,3.858,4.972,,,,2.186
BKNG,🏦majority,2.98,11.564,3.318,4.159,6.356,-3.961,,,,
BKR,🏦majority,3.018,13.222,12.539,4.709,3.086,-0.066,,,,
BL,🏦majority,-1.369,13.568,-2.763,2.699,2.26,-2.034,,,,
BLBD,🏦majority,2.913,21.007,,4.874,6.598,10.765,,,,
BLDR,🏦majority,2.619,18.12,-7.222,-0.132,-4.417,-6.802,-6.374,9.764,,
BLFS,⚡panic,0.193,21.691,19.85,2.757,0.611,-1.197,,,,
BLK,🏦majority,0.52,10.439,0.167,2.302,-1.523,-0.673,,,,
BLKB,🏦majority,-1.448,12.551,-3.887,2.587,1.082,-1.926,,,,
BLMN,🎲chase,-2.487,16.513,-3.534,1.901,2.013,-3.172,-7.011,,,
BMBL,🏦majority,-5.643,18.516,12.857,1.233,-7.093,,,,,
BMRN,🏦majority,-1.095,9.895,0.766,1.775,-3.729,-4.102,3.397,,,
BMY,🏦majority,-1.065,9.531,1.747,-1.395,-4.063,-1.027,-0.924,,,
BOKF,🏦majority,2.015,10.346,6.185,-0.374,-3.851,-0.04,,,,
BPOP,🏦majority,3.253,10.025,4.063,-0.222,-6.624,-1.205,,,,
BR,🏦majority,0.493,9.022,-6.716,-0.178,3.122,-2.279,,,,
BRKR,🎲chase,-0.854,17.392,3.967,-0.575,5.035,-5.296,,,,
BRO,🏦majority,1.624,9.812,-9.097,-2.502,3.314,-1.222,,,,-11.358
BRZE,🏦majority,-1.568,20.919,-0.298,0.805,-10.184,-7.719,0.252,,,
BSX,🏦majority,2.174,9.886,-21.406,-1.006,-3.168,1.156,,,,
BSY,🏦majority,-1.823,12.153,-2.728,-0.044,0.37,-1.222,-3.842,,,
BUSE,🏦majority,2.276,9.759,9.414,1.401,-0.032,-0.077,-0.408,,,
BWA,🏦majority,-0.56,12.187,8.654,-1.811,-3.656,3.376,,,,
BXP,🏦majority,-2.336,13.046,1.064,0.904,4.143,4.886,1.006,,,
BYND,🏦majority,-14.124,25.125,3.256,0.467,-12.339,,5.227,,,-22.759
C,🏦majority,2.99,11.382,12.897,-1.744,2.206,-2.643,,,,
CACC,🏦majority,1.382,12.627,,3.116,-4.367,-3.457,,,,
CAE,🏦majority,0.063,12.305,18.145,0.332,0.702,0.169,,,,
CAG,🏦majority,-2.908,8.294,0.307,0.967,0.781,-2.765,-2.001,,,
CAH,🏦majority,4.422,10.597,,7.199,2.768,-2.525,,,,
CAKE,⚡panic,1.964,13.748,27.452,5.328,0.073,-3.27,,,,
CALM,🏦majority,3.507,11.733,7.503,-3.745,0.437,2.451,,4.327,,
CAMT,🏦majority,4.555,23.419,6.808,-5.769,-6.437,2.119,,,,
CAR,🏦majority,-5.503,29.179,17.047,1.476,-1.301,-3.162,19.765,,,
