delta,planted,rep,world,band,known,rank,rank_le_3,rank_le_5,screen,final,regret,n_screen,freeze_commit
0.0,adx3&rs,1,1745695660,0.38163235302904525,False,22,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_conso,0,1787191236,0.34309899230968494,False,24,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx2&rs,2,2112876186,0.24631746369878568,False,1,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx2&rs,1,1745695660,0.3717185536974215,False,4,False,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65,0,1787191236,0.33538883456051555,False,14,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50,0,1787191236,0.3325314250861554,False,26,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65,1,1745695660,0.3849211320991014,False,24,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,0,1787191236,0.33153546446368587,False,2,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx1&rs,4,1628033617,0.38947380127599174,False,23,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65,4,1628033617,0.36347940303613563,False,8,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65&rs,4,1628033617,0.3822297125928897,False,6,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35,1,1745695660,0.3830868321611066,False,30,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65&conso,1,1745695660,0.37561374950263093,False,21,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx-1,4,1628033617,0.36330176182329016,False,1,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35,3,486140655,0.2698442427857498,False,19,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35&conso,3,486140655,0.276607415564012,False,23,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65&conso,3,486140655,0.27502883317732557,False,26,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35&conso,4,1628033617,0.3703929918304167,False,2,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx3&rs,2,2112876186,0.27211696247153083,False,5,False,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_rs_intact,0,1787191236,0.34460045800147787,False,12,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx1,4,1628033617,0.4026408162027828,False,29,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_lead_in_lag+sig_h1_dr,1,1745695660,0.372796772856359,False,3,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65&conso,4,1628033617,0.37214817058363403,False,13,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi>=65,0,1787191236,0.3288277213840856,False,16,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_rs_intact,1,1745695660,0.3800711493119577,False,19,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx2&rs,4,1628033617,0.37146638983480945,False,19,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_h1_dr,0,1787191236,0.3324597486317255,False,7,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_h1_dr,2,2112876186,0.24321991573402563,False,26,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx-1,3,486140655,0.2670123376440764,False,31,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_rs_intact+sig_conso,2,2112876186,0.23179268133580078,False,14,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_lead_in_lag,0,1787191236,0.3347987613224402,False,30,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx-1,0,1787191236,0.34395124546834027,False,1,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35&rs,0,1787191236,0.3295518772089982,False,27,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_h1_dr,3,486140655,0.2721610380896198,False,2,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx2&rs,0,1787191236,0.36174417006092213,False,11,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_lead_in_lag+sig_h1_dr,2,2112876186,0.22830793177225506,False,16,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50&rs,0,1787191236,0.35203679067947713,False,9,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35&conso,1,1745695660,0.3809611529351396,False,1,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_h1_dr,3,486140655,0.2643938211449957,False,30,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50,4,1628033617,0.37056775442347706,False,3,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx1&rs,1,1745695660,0.38749565153924564,False,27,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50&conso,4,1628033617,0.36895834013057754,False,9,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso,0,1787191236,0.3331672714850282,False,21,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_rs_intact,1,1745695660,0.3700962252888503,False,12,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso,3,486140655,0.2796616374227214,False,12,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50,2,2112876186,0.2443381784202119,False,11,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_h1_dr,4,1628033617,0.36999305889870865,False,22,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx2&rs,3,486140655,0.2554689998117164,False,16,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,3,486140655,0.2861827422114811,False,15,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx2,1,1745695660,0.39054921567161727,False,14,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_rs_intact,4,1628033617,0.39626642754141034,False,26,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx0,4,1628033617,0.37368432788718187,False,27,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx1&rs,3,486140655,0.27023736293321665,False,4,False,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_h1_dr,0,1787191236,0.33916448921979453,False,10,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx0,3,486140655,0.2623218195685242,False,21,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso,1,1745695660,0.37462331770378887,False,7,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
