ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
CFG,🏦majority,0.723,6.678,0.402,0.138,1.847,-0.568,1.101,0.2,-2.199,-5.111
CFLT,⚡panic,0.357,14.462,6.551,-0.002,-1.806,-0.162,5.204,1.038,-1.956,
CG,🎲chase,0.575,7.671,1.529,-2.145,0.991,-0.684,-0.202,0.252,1.792,-4.527
CGBD,🏦majority,-0.07,5.091,1.293,-0.384,-1.1,-0.31,0.185,,3.592,
CGEM,⚡panic,-1.939,16.856,3.151,0.212,3.16,0.33,0.761,-0.221,6.817,
CGNX,🏦majority,0.509,8.582,-1.25,0.23,0.707,-1.782,0.156,-0.555,-0.043,
CHCO,🏦majority,0.371,4.269,1.624,0.559,0.101,-0.371,2.352,0.138,0.428,
CHD,🏦majority,0.268,3.747,0.445,0.019,-0.609,-0.222,0.839,-1.096,0.114,
CHDN,🏦majority,-0.139,5.843,0.644,-0.248,-0.651,0.41,0.383,-1.194,0.485,
CHEF,🏦majority,1.253,8.306,-0.763,1.516,-1.995,-1.691,0.003,-1.583,0.181,-7.506
CHKP,🏦majority,0.519,5.121,0.327,0.328,-0.045,-0.54,0.86,-0.18,-0.619,
CHRD,🏦majority,0.483,6.78,1.147,0.344,0.508,-0.667,1.603,-3.781,-0.261,
CHRW,🏦majority,0.121,6.073,0.406,0.192,-0.305,-0.531,1.47,0.507,-0.218,
CHTR,🏦majority,-0.642,8.055,1.074,0.095,-1.425,0.79,1.205,0.548,0.047,-10.292
CI,🏦majority,0.428,4.932,0.879,0.595,0.315,-0.468,0.943,-0.776,0.556,-9.204
CIGI,🏦majority,0.443,6.77,1.227,-0.189,-0.493,0.36,2.344,-1.825,1.884,
CINF,🏦majority,0.497,4.579,2.844,0.416,0.258,-0.571,1.188,-0.572,0.041,
CL,🏦majority,0.101,3.509,0.381,-0.74,0.106,-0.012,-0.049,-0.133,0.441,
CLBT,🎲chase,0.5,11.019,-1.253,1.322,0.528,0.856,-2.495,-0.33,-2.831,
CLDX,🎲chase,-0.279,10.951,-0.949,-0.783,1.609,1.343,4.115,5.379,1.545,
CLFD,🎲chase,-0.288,13.798,-2.608,0.542,3.234,1.747,-0.674,0.135,3.451,
CLSK,⚡panic,-0.87,20.415,-0.766,0.7,-3.909,0.599,3.736,4.497,-3.135,
CLX,🏦majority,-0.537,5.1,2.289,-0.628,-0.527,-0.179,-0.65,,1.295,-3.327
CMCO,🏦majority,-0.305,10.479,-0.221,1.814,-1.141,-0.08,0.813,0.697,-1.365,
CMCSA,🏦majority,-0.321,4.691,0.0,0.347,0.169,-0.41,0.562,0.815,-0.146,
CME,🏦majority,0.15,3.96,0.129,0.462,-0.09,-0.414,0.183,0.67,0.114,
CMG,🏦majority,0.849,6.911,0.936,-1.06,-0.815,1.091,0.936,0.66,1.101,-5.132
CMI,🏦majority,0.732,5.095,0.347,-0.31,0.074,-0.257,2.16,0.482,1.536,
CMPR,🎲chase,0.433,10.644,-3.311,-0.394,0.556,-0.075,-0.433,4.174,-1.43,2.677
CMS,🏦majority,0.383,3.556,0.722,0.104,-0.059,-0.247,-0.378,-0.334,0.466,
CNC,🏦majority,0.155,8.07,-0.107,0.192,0.273,-0.282,0.193,-0.607,0.64,
CNOB,🏦majority,-0.123,7.905,-2.206,1.445,1.828,-0.602,1.431,-0.721,1.064,
