band,n_clears,n_promoted,n_final,gen,evaluated,ineligible,uncomputable,coverage,design_hash,shift
1.6418262046938843,1,1,1,G2,6.0,0.0,0.0,0.85245617080368,a160d54a6fc8,151.0
1.0162431402969467,2,1,0,G2,6.0,0.0,0.0,0.8041188492375413,e14439b58050,1158.0
2.4953835166130056,1,1,1,G2,6.0,0.0,0.0,0.8227069351230425,277ad28f9d60,490.0
1.969404800798558,0,0,0,G2,6.0,0.0,0.0,0.8275862068965517,53f3195f6ada,1296.0
1.8189546652495487,1,1,1,G2,6.0,0.0,0.0,0.7855926430517711,c5bcb3fd4bec,29.0
0.5567362954021274,1,0,0,G2,6.0,0.0,0.0,0.8517792098627066,3d4689572933,70.0
1.718958875040461,1,1,1,G2,6.0,0.0,0.0,0.8579934504316761,8f95df24c788,1038.0
1.0108734803023223,0,0,0,G2,6.0,0.0,0.0,0.8793867750277059,0c45d839cf86,754.0
1.3385791418523296,2,2,0,G2,6.0,0.0,0.0,0.8300873069173942,0889942937b9,471.0
2.696045654484899,1,1,1,G2,6.0,0.0,0.0,0.8474656560871625,935564445d70,1088.0
1.029430521021227,0,0,0,G2,6.0,0.0,0.0,0.8461841070023604,95de275e0067,39.0
1.1976548395329152,1,1,0,G2,6.0,0.0,0.0,0.8895142180094787,360e1b446d91,120.0
1.028060544967654,0,0,0,G2,6.0,0.0,0.0,0.8184890656063618,ddf013da76c0,826.0
1.9839498264983595,0,0,0,G2,6.0,0.0,0.0,0.8510140405616224,d8b8734bd2fa,1278.0
0.7339308183225921,0,0,0,G2,6.0,0.0,0.0,0.8362223550508069,62907bf0b655,565.0
1.3214817623329074,0,0,0,G2,6.0,0.0,0.0,0.8085335797905114,a295e87cb132,703.0
1.5117281691061377,0,0,0,G2,6.0,0.0,0.0,0.8188457427858924,9d98922e143b,211.0
2.1563368903927587,1,1,1,G2,6.0,0.0,0.0,0.7418677859391396,e2c00c051749,294.0
1.4029800086421547,1,1,0,G2,6.0,0.0,0.0,0.8580716777672058,c2e7d201dd18,394.0
0.7568396869981343,1,0,0,G2,6.0,0.0,0.0,0.7444444444444445,e14d1cdfe48d,1175.0
1.0981171149465019,0,0,0,G2,6.0,0.0,0.0,0.8522538821046284,57df9e722fd2,704.0
0.8438581801434861,1,1,0,G2,6.0,0.0,0.0,0.8623049984081502,bf60d4134f91,938.0
2.2214138668514867,2,2,2,G2,6.0,0.0,0.0,0.8230997038499507,cbac4769cb1f,1219.0
1.093531186574682,0,0,0,G2,6.0,0.0,0.0,0.8396424815983176,18b5889741d0,235.0
2.045117853389314,1,1,1,G2,6.0,0.0,0.0,0.8556793673616103,56fbf8ceeca4,513.0
1.1326459039312453,1,1,1,G2,6.0,0.0,0.0,0.8528674134760074,e590e4d531f8,769.0
0.9741161249918248,1,1,0,G2,6.0,0.0,0.0,0.8563652326602282,671ea944cbc4,327.0
2.114008624863979,1,1,1,G2,6.0,0.0,0.0,0.7402554320782883,1c32a4b36629,889.0
2.148917724075231,2,2,2,G2,6.0,0.0,0.0,0.8560828300258844,b6cbc30ff8d1,878.0
1.7391253817014398,1,1,1,G2,6.0,0.0,0.0,0.8606673766418176,810696443d30,603.0
1.6311459939850501,1,1,0,G2,6.0,0.0,0.0,0.8410936654033568,b65ad844a0bf,5.0
1.5167528694423074,1,1,0,G2,6.0,0.0,0.0,0.8131372221293666,f35909c0bfc2,696.0
1.5535494560114351,0,0,0,G2,6.0,0.0,0.0,0.8343437945791726,72c1389923d4,639.0
2.18696178661484,1,1,1,G2,6.0,0.0,0.0,0.8419197851988589,4d19d7c4f6ce,1114.0
1.7963438259070212,0,0,0,G2,6.0,0.0,0.0,0.8449438202247191,cbfc7425e2c2,210.0
3.070905039046313,1,1,1,G2,6.0,0.0,0.0,0.8711544823023487,9e4669bd4f29,1121.0
1.2009716255504128,0,0,0,G2,6.0,0.0,0.0,0.7955687953826103,718f2777ac74,631.0
2.9661670381863483,0,0,0,G2,6.0,0.0,0.0,0.8788307402168788,b855c0ee8607,1092.0
1.3104928646758958,2,2,1,G2,6.0,0.0,0.0,0.8625204582651391,de95c49f704f,357.0
2.084704415367174,0,0,0,G2,6.0,0.0,0.0,0.8288412017167383,3565c941ae96,227.0
1.582709963733733,1,1,1,G2,6.0,0.0,0.0,0.8662420382165605,7f5a17418408,987.0
3.083227775464455,2,2,2,G2,6.0,0.0,0.0,0.8145902241822859,ab04f333e3c5,530.0
2.715888807062489,1,1,1,G2,6.0,0.0,0.0,0.8791163556531284,fe4c5fa98688,270.0
1.3641485245047213,1,1,1,G2,6.0,0.0,0.0,0.8037718904355635,4f1fe92a637e,796.0
1.0265216096431473,0,0,0,G2,6.0,0.0,0.0,0.7969428521799549,8c6295aedd6f,722.0
1.3959846012850012,1,1,1,G2,6.0,0.0,0.0,0.8502758077226162,54e6a4b4c2d3,366.0
