ticker,date,med_before,med_after,level_shift,bar_ratio
MGN,2026-03-26,2.065,0.175,0.0847457627118644,0.0660377358490566
MGNX,2024-05-10,15.59,4.35,0.27902501603592045,0.2256305385139741
MI,2026-03-10,334.6,24.035,0.0718320382546324,0.1702637889688249
MIRA,2024-07-22,0.735,1.935,2.63265306122449,7.260869565217392
MLGO,2023-12-07,20040.0,4572.6,0.2281736526946108,0.2139874739039666
MLGO,2025-02-21,51.15,175.2,3.4252199413489737,5.530434782608696
MLGO,2025-03-24,84.6,255.45,3.019503546099291,5.551587301587302
MLTX,2025-09-29,54.25,10.085,0.18589861751152076,0.10082271334086143
MNDR,2026-06-29,0.765,3.035,3.9673202614379086,6.611111111111111
MNPR,2024-10-24,4.58,19.424999999999997,4.241266375545851,7.0539956803455715
MQ,2026-07-01,3.95,17.259999999999998,4.369620253164556,4.093596059113301
MSGM,2023-01-31,3.8449999999999998,9.68,2.517555266579974,8.136882129277566
MSGY,2025-10-02,13.280000000000001,1.605,0.12085843373493975,0.14473684210526316
MSS,2023-12-15,97.35,9.9,0.1016949152542373,0.1643655489809336
MTC,2024-05-20,16.68,3.16,0.1894484412470024,0.14978601997146934
MTC,2025-11-05,0.85,2.6900000000000004,3.164705882352942,7.366666666666667
MTEN,2026-01-09,216.5,1.76,0.00812933025404157,0.21888483239296383
MVST,2024-11-13,0.21,1.255,5.976190476190476,4.444444444444445
NCL,2023-12-19,77.12,8.760000000000002,0.11358921161825727,0.11538461538461539
NCL,2025-06-06,3.31,1.43,0.43202416918429,0.1925925925925926
NCRA,2026-07-07,0.165,1.53,9.272727272727272,28.57142857142857
NINE,2026-03-31,0.42,9.455,22.511904761904763,13.898305084745763
NMRA,2025-01-02,10.55,1.9249999999999998,0.1824644549763033,0.1858490566037736
NTCL,2026-06-11,0.395,2.89,7.3164556962025316,0.13745704467353953
NTCL,2026-07-06,0.365,3.355,9.191780821917808,51.333333333333336
NUWE,2026-06-26,0.81,2.85,3.5185185185185186,36.666666666666664
NVNI,2024-12-19,7.55,33.05,4.377483443708609,4.171875
NXTT,2025-05-09,59.45,413.0,6.947014297729184,7.612903225806452
OCG,2025-12-11,1848.0,9.47,0.005124458874458874,0.10471264367816092
OCG,2025-12-12,1824.9,7.625,0.0041783111403364565,0.24149286498353456
OMEX,2024-09-17,4.015,0.6,0.14943960149439603,0.10683760683760685
ONEG,2026-05-07,3.3049999999999997,1.08,0.3267776096822996,0.19664634146341464
OPAD,2026-06-09,0.745,4.82,6.469798657718121,9.425925925925926
OPI,2026-06-22,0.24,18.06,75.25,85.0
ORIS,2024-12-05,140.4,30.299999999999997,0.2158119658119658,6.992509363295881
